meanProb,maxProb,medianCatch,cap,scenario,Ass,Rule,Rec,INN,OER,period,years
0.0355,0.091,28465.06949,50000,ASSnone_HCR10_REClow_INNvar_OERnone,ASSnone,HCR10,REClow,INNvar,OERnone,initial,2021 - 2026
0.347,0.504,43958.63963,50000,ASSnone_HCR10_REClowmed_INNvar_OERnone,ASSnone,HCR10,REClowmed,INNvar,OERnone,initial,2021 - 2026
0.264333333,0.376,41626.90128,50000,ASSnone_HCR10_RECmix_INNvar_OERnone,ASSnone,HCR10,RECmix,INNvar,OERnone,initial,2021 - 2026
0.2095,0.329,27486.37574,35000,ASSnone_HCR13_REClow_INNvar_OERnone,ASSnone,HCR13,REClow,INNvar,OERnone,initial,2021 - 2026
0.576166667,0.714,34107.13139,35000,ASSnone_HCR13_REClowmed_INNvar_OERnone,ASSnone,HCR13,REClowmed,INNvar,OERnone,initial,2021 - 2026
0.4615,0.542,33704.28476,35000,ASSnone_HCR13_RECmix_INNvar_OERnone,ASSnone,HCR13,RECmix,INNvar,OERnone,initial,2021 - 2026
0.304333333,0.439,26369.07696,30000,ASSnone_HCR14_REClow_INNvar_OERnone,ASSnone,HCR14,REClow,INNvar,OERnone,initial,2021 - 2026
0.586166667,0.642,30000,30000,ASSnone_HCR14_REClowmed_INNvar_OERnone,ASSnone,HCR14,REClowmed,INNvar,OERnone,initial,2021 - 2026
0.480833333,0.509,29785.08906,30000,ASSnone_HCR14_RECmix_INNvar_OERnone,ASSnone,HCR14,RECmix,INNvar,OERnone,initial,2021 - 2026
0.1215,0.239,27939.8574,40000,ASSnone_HCR8_REClow_INNvar_OERnone,ASSnone,HCR8,REClow,INNvar,OERnone,initial,2021 - 2026
0.488,0.644,37840.55173,40000,ASSnone_HCR8_REClowmed_INNvar_OERnone,ASSnone,HCR8,REClowmed,INNvar,OERnone,initial,2021 - 2026
0.3795,0.484,36987.14876,40000,ASSnone_HCR8_RECmix_INNvar_OERnone,ASSnone,HCR8,RECmix,INNvar,OERnone,initial,2021 - 2026
0.064666667,0.143,28352.66721,45000,ASSnone_HCR9_REClow_INNvar_OERnone,ASSnone,HCR9,REClow,INNvar,OERnone,initial,2021 - 2026
0.4045,0.548,41217.1603,45000,ASSnone_HCR9_REClowmed_INNvar_OERnone,ASSnone,HCR9,REClowmed,INNvar,OERnone,initial,2021 - 2026
0.3135,0.43,39578.07859,45000,ASSnone_HCR9_RECmix_INNvar_OERnone,ASSnone,HCR9,RECmix,INNvar,OERnone,initial,2021 - 2026
0.115833333,0.167,32758.46292,50000,ASSss3_HCR10_REClow_INNvar_OERnaq,ASSss3,HCR10,REClow,INNvar,OERnaq,initial,2021 - 2026
0.391833333,0.51,44812.48853,50000,ASSss3_HCR10_REClowmed_INNvar_OERnaq,ASSss3,HCR10,REClowmed,INNvar,OERnaq,initial,2021 - 2026
0.309,0.385,42335.65904,50000,ASSss3_HCR10_RECmix_INNvar_OERnaq,ASSss3,HCR10,RECmix,INNvar,OERnaq,initial,2021 - 2026
0.3355,0.402,30520.36938,35000,ASSss3_HCR13_REClow_INNvar_OERnaq,ASSss3,HCR13,REClow,INNvar,OERnaq,initial,2021 - 2026
0.5875,0.682,34331.31477,35000,ASSss3_HCR13_REClowmed_INNvar_OERnaq,ASSss3,HCR13,REClowmed,INNvar,OERnaq,initial,2021 - 2026
0.503166667,0.561,33612.77173,35000,ASSss3_HCR13_RECmix_INNvar_OERnaq,ASSss3,HCR13,RECmix,INNvar,OERnaq,initial,2021 - 2026
0.386833333,0.418,28306.88793,30000,ASSss3_HCR14_REClow_INNvar_OERnaq,ASSss3,HCR14,REClow,INNvar,OERnaq,initial,2021 - 2026
0.568166667,0.634,30000,30000,ASSss3_HCR14_REClowmed_INNvar_OERnaq,ASSss3,HCR14,REClowmed,INNvar,OERnaq,initial,2021 - 2026
0.508,0.55,29725.16449,30000,ASSss3_HCR14_RECmix_INNvar_OERnaq,ASSss3,HCR14,RECmix,INNvar,OERnaq,initial,2021 - 2026
0.236666667,0.302,32072.29888,40000,ASSss3_HCR8_REClow_INNvar_OERnaq,ASSss3,HCR8,REClow,INNvar,OERnaq,initial,2021 - 2026
0.517,0.636,38113.96887,40000,ASSss3_HCR8_REClowmed_INNvar_OERnaq,ASSss3,HCR8,REClowmed,INNvar,OERnaq,initial,2021 - 2026
0.419333333,0.495,37136.66677,40000,ASSss3_HCR8_RECmix_INNvar_OERnaq,ASSss3,HCR8,RECmix,INNvar,OERnaq,initial,2021 - 2026
0.171,0.232,32589.21975,45000,ASSss3_HCR9_REClow_INNvar_OERnaq,ASSss3,HCR9,REClow,INNvar,OERnaq,initial,2021 - 2026
0.4345,0.565,41594.9514,45000,ASSss3_HCR9_REClowmed_INNvar_OERnaq,ASSss3,HCR9,REClowmed,INNvar,OERnaq,initial,2021 - 2026
0.349166667,0.438,39581.77374,45000,ASSss3_HCR9_RECmix_INNvar_OERnaq,ASSss3,HCR9,RECmix,INNvar,OERnaq,initial,2021 - 2026
0.0251,0.091,26353.60698,50000,ASSnone_HCR10_REClow_INNvar_OERnone,ASSnone,HCR10,REClow,INNvar,OERnone,short,2021 - 2030
0.4075,0.512,45242.96281,50000,ASSnone_HCR10_REClowmed_INNvar_OERnone,ASSnone,HCR10,REClowmed,INNvar,OERnone,short,2021 - 2030
0.3179,0.418,43272.79916,50000,ASSnone_HCR10_RECmix_INNvar_OERnone,ASSnone,HCR10,RECmix,INNvar,OERnone,short,2021 - 2030
0.1607,0.329,25661.62254,35000,ASSnone_HCR13_REClow_INNvar_OERnone,ASSnone,HCR13,REClow,INNvar,OERnone,short,2021 - 2030
0.6372,0.739,34351.01499,35000,ASSnone_HCR13_REClowmed_INNvar_OERnone,ASSnone,HCR13,REClowmed,INNvar,OERnone,short,2021 - 2030
0.5127,0.606,34088.66007,35000,ASSnone_HCR13_RECmix_INNvar_OERnone,ASSnone,HCR13,RECmix,INNvar,OERnone,short,2021 - 2030
0.2475,0.439,24806.05978,30000,ASSnone_HCR14_REClow_INNvar_OERnone,ASSnone,HCR14,REClow,INNvar,OERnone,short,2021 - 2030
0.6129,0.664,29997.65915,30000,ASSnone_HCR14_REClowmed_INNvar_OERnone,ASSnone,HCR14,REClowmed,INNvar,OERnone,short,2021 - 2030
0.5042,0.56,29801.87038,30000,ASSnone_HCR14_RECmix_INNvar_OERnone,ASSnone,HCR14,RECmix,INNvar,OERnone,short,2021 - 2030
0.0887,0.239,26045.25562,40000,ASSnone_HCR8_REClow_INNvar_OERnone,ASSnone,HCR8,REClow,INNvar,OERnone,short,2021 - 2030
0.5517,0.665,38514.04244,40000,ASSnone_HCR8_REClowmed_INNvar_OERnone,ASSnone,HCR8,REClowmed,INNvar,OERnone,short,2021 - 2030
0.4334,0.547,37741.83283,40000,ASSnone_HCR8_RECmix_INNvar_OERnone,ASSnone,HCR8,RECmix,INNvar,OERnone,short,2021 - 2030
0.0454,0.143,26250.6465,45000,ASSnone_HCR9_REClow_INNvar_OERnone,ASSnone,HCR9,REClow,INNvar,OERnone,short,2021 - 2030
0.4724,0.602,42135.78053,45000,ASSnone_HCR9_REClowmed_INNvar_OERnone,ASSnone,HCR9,REClowmed,INNvar,OERnone,short,2021 - 2030
0.3708,0.479,40710.79724,45000,ASSnone_HCR9_RECmix_INNvar_OERnone,ASSnone,HCR9,RECmix,INNvar,OERnone,short,2021 - 2030
0.0893,0.167,31472.15352,50000,ASSss3_HCR10_REClow_INNvar_OERnaq,ASSss3,HCR10,REClow,INNvar,OERnaq,short,2021 - 2030
0.4443,0.541,45966.51849,50000,ASSss3_HCR10_REClowmed_INNvar_OERnaq,ASSss3,HCR10,REClowmed,INNvar,OERnaq,short,2021 - 2030
0.3393,0.396,43499.14488,50000,ASSss3_HCR10_RECmix_INNvar_OERnaq,ASSss3,HCR10,RECmix,INNvar,OERnaq,short,2021 - 2030
0.3017,0.402,29159.64724,35000,ASSss3_HCR13_REClow_INNvar_OERnaq,ASSss3,HCR13,REClow,INNvar,OERnaq,short,2021 - 2030
0.6408,0.744,34475.13825,35000,ASSss3_HCR13_REClowmed_INNvar_OERnaq,ASSss3,HCR13,REClowmed,INNvar,OERnaq,short,2021 - 2030
0.536,0.607,33904.31998,35000,ASSss3_HCR13_RECmix_INNvar_OERnaq,ASSss3,HCR13,RECmix,INNvar,OERnaq,short,2021 - 2030
0.3623,0.418,27392.36579,30000,ASSss3_HCR14_REClow_INNvar_OERnaq,ASSss3,HCR14,REClow,INNvar,OERnaq,short,2021 - 2030
0.5993,0.677,30000,30000,ASSss3_HCR14_REClowmed_INNvar_OERnaq,ASSss3,HCR14,REClowmed,INNvar,OERnaq,short,2021 - 2030
0.5301,0.584,29716.03585,30000,ASSss3_HCR14_RECmix_INNvar_OERnaq,ASSss3,HCR14,RECmix,INNvar,OERnaq,short,2021 - 2030
0.2083,0.302,30568.96407,40000,ASSss3_HCR8_REClow_INNvar_OERnaq,ASSss3,HCR8,REClow,INNvar,OERnaq,short,2021 - 2030
0.5756,0.683,38613.74827,40000,ASSss3_HCR8_REClowmed_INNvar_OERnaq,ASSss3,HCR8,REClowmed,INNvar,OERnaq,short,2021 - 2030
0.4581,0.543,37703.12603,40000,ASSss3_HCR8_RECmix_INNvar_OERnaq,ASSss3,HCR8,RECmix,INNvar,OERnaq,short,2021 - 2030
0.1412,0.232,31000.10847,45000,ASSss3_HCR9_REClow_INNvar_OERnaq,ASSss3,HCR9,REClow,INNvar,OERnaq,short,2021 - 2030
0.5003,0.61,42448.84462,45000,ASSss3_HCR9_REClowmed_INNvar_OERnaq,ASSss3,HCR9,REClowmed,INNvar,OERnaq,short,2021 - 2030
0.393,0.474,40555.09962,45000,ASSss3_HCR9_RECmix_INNvar_OERnaq,ASSss3,HCR9,RECmix,INNvar,OERnaq,short,2021 - 2030
0.0114,0.016,23362.92276,50000,ASSnone_HCR10_REClow_INNvar_OERnone,ASSnone,HCR10,REClow,INNvar,OERnone,med,2041 - 2050
0.54,0.56,48806.15155,50000,ASSnone_HCR10_REClowmed_INNvar_OERnone,ASSnone,HCR10,REClowmed,INNvar,OERnone,med,2041 - 2050
0.4859,0.507,48218.81276,50000,ASSnone_HCR10_RECmix_INNvar_OERnone,ASSnone,HCR10,RECmix,INNvar,OERnone,med,2041 - 2050
0.0913,0.1,23187.89228,35000,ASSnone_HCR13_REClow_INNvar_OERnone,ASSnone,HCR13,REClow,INNvar,OERnone,med,2041 - 2050
0.7319,0.758,35000,35000,ASSnone_HCR13_REClowmed_INNvar_OERnone,ASSnone,HCR13,REClowmed,INNvar,OERnone,med,2041 - 2050
0.6887,0.718,35000,35000,ASSnone_HCR13_RECmix_INNvar_OERnone,ASSnone,HCR13,RECmix,INNvar,OERnone,med,2041 - 2050
0.1541,0.186,22740.44712,30000,ASSnone_HCR14_REClow_INNvar_OERnone,ASSnone,HCR14,REClow,INNvar,OERnone,med,2041 - 2050
0.6622,0.68,30000,30000,ASSnone_HCR14_REClowmed_INNvar_OERnone,ASSnone,HCR14,REClowmed,INNvar,OERnone,med,2041 - 2050
0.6303,0.646,30000,30000,ASSnone_HCR14_RECmix_INNvar_OERnone,ASSnone,HCR14,RECmix,INNvar,OERnone,med,2041 - 2050
0.0441,0.053,23341.31917,40000,ASSnone_HCR8_REClow_INNvar_OERnone,ASSnone,HCR8,REClow,INNvar,OERnone,med,2041 - 2050
0.6757,0.698,40000,40000,ASSnone_HCR8_REClowmed_INNvar_OERnone,ASSnone,HCR8,REClowmed,INNvar,OERnone,med,2041 - 2050
0.6234,0.636,40000,40000,ASSnone_HCR8_RECmix_INNvar_OERnone,ASSnone,HCR8,RECmix,INNvar,OERnone,med,2041 - 2050
0.0229,0.031,23349.46179,45000,ASSnone_HCR9_REClow_INNvar_OERnone,ASSnone,HCR9,REClow,INNvar,OERnone,med,2041 - 2050
0.614,0.632,44855.66979,45000,ASSnone_HCR9_REClowmed_INNvar_OERnone,ASSnone,HCR9,REClowmed,INNvar,OERnone,med,2041 - 2050
0.5572,0.583,44484.59634,45000,ASSnone_HCR9_RECmix_INNvar_OERnone,ASSnone,HCR9,RECmix,INNvar,OERnone,med,2041 - 2050
0.1027,0.124,32664.95844,50000,ASSss3_HCR10_REClow_INNvar_OERnaq,ASSss3,HCR10,REClow,INNvar,OERnaq,med,2041 - 2050
0.5554,0.579,49271.34994,50000,ASSss3_HCR10_REClowmed_INNvar_OERnaq,ASSss3,HCR10,REClowmed,INNvar,OERnaq,med,2041 - 2050
0.471,0.5,48556.52792,50000,ASSss3_HCR10_RECmix_INNvar_OERnaq,ASSss3,HCR10,RECmix,INNvar,OERnaq,med,2041 - 2050
0.3746,0.427,30651.78858,35000,ASSss3_HCR13_REClow_INNvar_OERnaq,ASSss3,HCR13,REClow,INNvar,OERnaq,med,2041 - 2050
0.7467,0.763,35000,35000,ASSss3_HCR13_REClowmed_INNvar_OERnaq,ASSss3,HCR13,REClowmed,INNvar,OERnaq,med,2041 - 2050
0.6882,0.704,35000,35000,ASSss3_HCR13_RECmix_INNvar_OERnaq,ASSss3,HCR13,RECmix,INNvar,OERnaq,med,2041 - 2050
0.4399,0.478,28367.40783,30000,ASSss3_HCR14_REClow_INNvar_OERnaq,ASSss3,HCR14,REClow,INNvar,OERnaq,med,2041 - 2050
0.6566,0.68,30000,30000,ASSss3_HCR14_REClowmed_INNvar_OERnaq,ASSss3,HCR14,REClowmed,INNvar,OERnaq,med,2041 - 2050
0.6291,0.651,30000,30000,ASSss3_HCR14_RECmix_INNvar_OERnaq,ASSss3,HCR14,RECmix,INNvar,OERnaq,med,2041 - 2050
0.2504,0.284,31851.48171,40000,ASSss3_HCR8_REClow_INNvar_OERnaq,ASSss3,HCR8,REClow,INNvar,OERnaq,med,2041 - 2050
0.6868,0.706,40000,40000,ASSss3_HCR8_REClowmed_INNvar_OERnaq,ASSss3,HCR8,REClowmed,INNvar,OERnaq,med,2041 - 2050
0.6177,0.654,40000,40000,ASSss3_HCR8_RECmix_INNvar_OERnaq,ASSss3,HCR8,RECmix,INNvar,OERnaq,med,2041 - 2050
0.1664,0.195,32640.18728,45000,ASSss3_HCR9_REClow_INNvar_OERnaq,ASSss3,HCR9,REClow,INNvar,OERnaq,med,2041 - 2050
0.638,0.664,45000,45000,ASSss3_HCR9_REClowmed_INNvar_OERnaq,ASSss3,HCR9,REClowmed,INNvar,OERnaq,med,2041 - 2050
0.5586,0.584,44729.50027,45000,ASSss3_HCR9_RECmix_INNvar_OERnaq,ASSss3,HCR9,RECmix,INNvar,OERnaq,med,2041 - 2050
0.0095,0.014,23076.6573,50000,ASSnone_HCR10_REClow_INNvar_OERnone,ASSnone,HCR10,REClow,INNvar,OERnone,last,2061 - 2070
0.5337,0.556,48579.41598,50000,ASSnone_HCR10_REClowmed_INNvar_OERnone,ASSnone,HCR10,REClowmed,INNvar,OERnone,last,2061 - 2070
0.4871,0.513,48220.41849,50000,ASSnone_HCR10_RECmix_INNvar_OERnone,ASSnone,HCR10,RECmix,INNvar,OERnone,last,2061 - 2070
0.0884,0.1,22959.87566,35000,ASSnone_HCR13_REClow_INNvar_OERnone,ASSnone,HCR13,REClow,INNvar,OERnone,last,2061 - 2070
0.7301,0.749,35000,35000,ASSnone_HCR13_REClowmed_INNvar_OERnone,ASSnone,HCR13,REClowmed,INNvar,OERnone,last,2061 - 2070
0.7014,0.721,35000,35000,ASSnone_HCR13_RECmix_INNvar_OERnone,ASSnone,HCR13,RECmix,INNvar,OERnone,last,2061 - 2070
0.1537,0.164,22639.74101,30000,ASSnone_HCR14_REClow_INNvar_OERnone,ASSnone,HCR14,REClow,INNvar,OERnone,last,2061 - 2070
0.6583,0.673,30000,30000,ASSnone_HCR14_REClowmed_INNvar_OERnone,ASSnone,HCR14,REClowmed,INNvar,OERnone,last,2061 - 2070
0.637,0.668,30000,30000,ASSnone_HCR14_RECmix_INNvar_OERnone,ASSnone,HCR14,RECmix,INNvar,OERnone,last,2061 - 2070
0.0422,0.057,23064.97684,40000,ASSnone_HCR8_REClow_INNvar_OERnone,ASSnone,HCR8,REClow,INNvar,OERnone,last,2061 - 2070
0.6758,0.69,40000,40000,ASSnone_HCR8_REClowmed_INNvar_OERnone,ASSnone,HCR8,REClowmed,INNvar,OERnone,last,2061 - 2070
0.6368,0.657,40000,40000,ASSnone_HCR8_RECmix_INNvar_OERnone,ASSnone,HCR8,RECmix,INNvar,OERnone,last,2061 - 2070
0.0197,0.024,23092.0292,45000,ASSnone_HCR9_REClow_INNvar_OERnone,ASSnone,HCR9,REClow,INNvar,OERnone,last,2061 - 2070
0.6053,0.628,44679.95997,45000,ASSnone_HCR9_REClowmed_INNvar_OERnone,ASSnone,HCR9,REClowmed,INNvar,OERnone,last,2061 - 2070
0.566,0.594,44524.64788,45000,ASSnone_HCR9_RECmix_INNvar_OERnone,ASSnone,HCR9,RECmix,INNvar,OERnone,last,2061 - 2070
0.1454,0.175,35854.29037,50000,ASSss3_HCR10_REClow_INNvar_OERnaq,ASSss3,HCR10,REClow,INNvar,OERnaq,last,2061 - 2070
0.5827,0.608,49690.45766,50000,ASSss3_HCR10_REClowmed_INNvar_OERnaq,ASSss3,HCR10,REClowmed,INNvar,OERnaq,last,2061 - 2070
0.5181,0.537,49333.75764,50000,ASSss3_HCR10_RECmix_INNvar_OERnaq,ASSss3,HCR10,RECmix,INNvar,OERnaq,last,2061 - 2070
0.4664,0.502,32405.19428,35000,ASSss3_HCR13_REClow_INNvar_OERnaq,ASSss3,HCR13,REClow,INNvar,OERnaq,last,2061 - 2070
0.7401,0.748,35000,35000,ASSss3_HCR13_REClowmed_INNvar_OERnaq,ASSss3,HCR13,REClowmed,INNvar,OERnaq,last,2061 - 2070
0.723,0.746,35000,35000,ASSss3_HCR13_RECmix_INNvar_OERnaq,ASSss3,HCR13,RECmix,INNvar,OERnaq,last,2061 - 2070
0.5161,0.553,29350.14326,30000,ASSss3_HCR14_REClow_INNvar_OERnaq,ASSss3,HCR14,REClow,INNvar,OERnaq,last,2061 - 2070
0.6566,0.681,30000,30000,ASSss3_HCR14_REClowmed_INNvar_OERnaq,ASSss3,HCR14,REClowmed,INNvar,OERnaq,last,2061 - 2070
0.6375,0.653,30000,30000,ASSss3_HCR14_RECmix_INNvar_OERnaq,ASSss3,HCR14,RECmix,INNvar,OERnaq,last,2061 - 2070
0.3247,0.357,34302.65726,40000,ASSss3_HCR8_REClow_INNvar_OERnaq,ASSss3,HCR8,REClow,INNvar,OERnaq,last,2061 - 2070
0.7005,0.726,40000,40000,ASSss3_HCR8_REClowmed_INNvar_OERnaq,ASSss3,HCR8,REClowmed,INNvar,OERnaq,last,2061 - 2070
0.6624,0.693,40000,40000,ASSss3_HCR8_RECmix_INNvar_OERnaq,ASSss3,HCR8,RECmix,INNvar,OERnaq,last,2061 - 2070
0.2325,0.262,35472.50372,45000,ASSss3_HCR9_REClow_INNvar_OERnaq,ASSss3,HCR9,REClow,INNvar,OERnaq,last,2061 - 2070
0.6449,0.686,45000,45000,ASSss3_HCR9_REClowmed_INNvar_OERnaq,ASSss3,HCR9,REClowmed,INNvar,OERnaq,last,2061 - 2070
0.5938,0.634,45000,45000,ASSss3_HCR9_RECmix_INNvar_OERnaq,ASSss3,HCR9,RECmix,INNvar,OERnaq,last,2061 - 2070
