"period";"scenario";"Ass";"Rule";"Rec";"INN";"OER";"P5th_B1plus";"P10th_B1plus";"Median_B1plus";"P90th_B1plus";"P95th_B1plus";"Mean_B1plus";"Median_lastB1plus";"IAV1_B1plus";"IAV2_B1plus";"avg_P_B1plus_Blim";"avg_P_B1plus_Blow";"once_P_B1plus_Blim";"once_P_B1plus_Blow";"max_P_B1plus_Blim";"max_P_B1plus_Blow";"years_B1plus_under_Blim";"years_get_B1plus_up_Blim";"firstyear_B1plus_Blim";"years_B1plus_under_Blow";"years_get_B1plus_up_Blow";"firstyear_B1plus_Blow";"closure";"closure_once";"years_closure";"P5th_F";"Median_F";"P95th_F";"P5th_Catch";"Median_Catch";"P95th_Catch";"Mean_Catch";"StDev_Catch";"IAV1_Catch";"IAV2_Catch"
"short";"ASSss3_HCR9_RECmix_INNvar_OERnaq";"ASSss3";"HCR9";"RECmix";"INNvar";"OERnaq";244220.475323203;267129.709208809;446791.453995185;677706.649978946;749824.344236531;460589.300763841;487662.426868659;53752.5157778094;1.02901188195929;0.2722;0.0027;0.429;0.017;0.328;0.008;2.722;2.582;NA;0.027;0.026;2021;0;0;0;0.0541192840940723;0.0874807833250476;0.142747955162911;18365.754288339;45000;45000;37952.3864959379;5760.45948928159;3571.23754540238;1.04713558319344
"last";"ASSnone_HCR10_REClow_INNvar_OERnone";"ASSnone";"HCR10";"REClow";"INNvar";"OERnone";231454.271251765;245113.899061712;302184.654807792;379936.136097454;407355.824210258;308486.837689572;300466.426490589;30211.8215113128;1.00746231218118;0.7352;0.0022;0.998;0.016;0.762;0.006;7.352;5.55591666666667;NA;0.022;0.021;2061;0;0;0;0.0461691579793271;0.0763232286149164;0.113182666047438;11637.6521136692;22171.00893903;40352.6995082222;23588.20384757;6756.2500556155;5169.48301587211;1.04481894062904
"last";"ASSnone_HCR10_REClowmed_INNvar_OERnone";"ASSnone";"HCR10";"REClowmed";"INNvar";"OERnone";367453.713538894;397714.053837944;541716.640041548;744495.24982856;816123.334071591;559502.50233655;540139.353732237;66797.1369767005;1.01205540884972;0.0224;1e-04;0.127;0.001;0.028;0.001;0.224;0.2065;2061;0.001;0.001;2061;0;0;0;0.0629253987494458;0.0909391702558043;0.119613801094721;31788.5272806085;50000;50000;47170.4826161757;3911.28284840807;2472.35480632586;1.00967949482486
"last";"ASSnone_HCR10_RECmix_INNvar_OERnone";"ASSnone";"HCR10";"RECmix";"INNvar";"OERnone";293505.487034786;347099.383248306;526595.411017801;735039.894993762;806891.746974267;538025.461447803;526455.84709949;63356.2640235299;1.01118146117065;0.0903;3e-04;0.194;0.001;0.101;0.001;0.903;0.843;NA;0.003;0.003;2061;0;0;0;0.0611176274585604;0.0893471677555503;0.119074443163231;21090.2907059679;50000;50000;45065.4257592378;4302.04423428294;2561.22987507203;1.01010364190481
"last";"ASSnone_HCR7_REClow_INNvar_OERnone";"ASSnone";"HCR7";"REClow";"INNvar";"OERnone";284270.105531037;299410.157843101;367138.881911285;454793.659121198;482105.477327074;372970.207342031;366337.578538685;29178.0528756674;1.00460589673522;0.3023;1e-04;0.744;0.001;0.32;0.001;3.023;2.34858333333333;NA;0.001;0.001;2061;0.8154;1;8.154;0;0;0;0;1e-06;1e-06;8.84e-07;1.34564176443143e-22;1.3679582098157e-22;1
"last";"ASSnone_HCR7_REClowmed_INNvar_OERnone";"ASSnone";"HCR7";"REClowmed";"INNvar";"OERnone";490794.163921064;522640.598524037;672551.417937858;878493.563523008;949733.380281892;689499.527738716;669831.159555163;66397.1639462615;1.00759705551605;2e-04;0;0.001;0;0.001;0;0.002;0.002;2061;0;0;2061;0.7902;1;7.902;0;0;0;0;1e-06;1e-06;8.78e-07;1.32061083578609e-22;1.31595979833147e-22;1
"last";"ASSnone_HCR7_RECmix_INNvar_OERnone";"ASSnone";"HCR7";"RECmix";"INNvar";"OERnone";490794.163921064;522625.331861754;672551.296650918;878493.500854907;949702.950053554;689485.320227003;669831.147618707;66397.5062622151;1.00759820423443;2e-04;0;0.001;0;0.001;0;0.002;0.002;2061;0;0;2061;0.7892;1;7.892;0;0;0;0;1e-06;1e-06;8.81e-07;1.32186537360202e-22;1.32137139771671e-22;1
"last";"ASSnone_HCR8_REClow_INNvar_OERnone";"ASSnone";"HCR8";"REClow";"INNvar";"OERnone";231615.466046986;245241.805698529;302671.445200521;381252.830768818;408914.787674166;309111.905912824;300729.231475967;30136.9134525944;1.00738531663872;0.73;0.0022;0.995;0.016;0.754;0.006;7.3;5.54025;NA;0.022;0.021;2061;0;0;0;0.0461943441347377;0.0763743077091107;0.108265987506864;11641.0106969509;22230.4229421783;40000;23380.1187699785;6315.17250258404;4751.50412089934;1.04158720122287
"last";"ASSnone_HCR8_REClowmed_INNvar_OERnone";"ASSnone";"HCR8";"REClowmed";"INNvar";"OERnone";386033.496379403;416619.231184932;564943.037134602;769481.956950366;840947.250472984;581881.239271366;562931.317308689;66477.4759663663;1.01100276098156;0.0139;1e-04;0.079;0.001;0.018;0.001;0.139;0.133;2061;0.001;0.001;2061;0;0;0;0.0498642018345355;0.0722659100164063;0.0989025035070881;34587.4634982877;40000;40000;39327.5306383441;1171.86701264021;697.498376445903;1.00293720953478
"last";"ASSnone_HCR8_RECmix_INNvar_OERnone";"ASSnone";"HCR8";"RECmix";"INNvar";"OERnone";318729.507235317;384146.16149843;554842.626682523;761498.908973066;834838.81087829;565900.482716529;552232.353254809;64148.5451918675;1.01043688559431;0.0613;1e-04;0.134;0.001;0.066;0.001;0.613;0.593;NA;0.001;0.001;2061;0;0;0;0.0498524074214483;0.0721748295113046;0.0989267731601976;24383.9269489135;40000;40000;38312.2019710323;1546.07635188649;864.08846034796;1.00445548393252
"last";"ASSnone_HCR9_REClow_INNvar_OERnone";"ASSnone";"HCR9";"REClow";"INNvar";"OERnone";231473.369521152;245162.658660879;302374.742830093;380180.926366534;407726.494518154;308687.873661878;300592.16593037;30183.5450790857;1.00743023427326;0.7331;0.0022;0.997;0.016;0.761;0.006;7.331;5.54841666666667;NA;0.022;0.021;2061;0;0;0;0.0461738166886662;0.0763405279412115;0.111971029998181;11640.9895156478;22185.5117201893;40448.389715673;23522.711307995;6602.8779025873;5027.11551262008;1.0436516709549
"last";"ASSnone_HCR9_REClowmed_INNvar_OERnone";"ASSnone";"HCR9";"REClowmed";"INNvar";"OERnone";375803.914011639;406117.128129852;552753.00674014;757217.065660631;828992.703446387;570050.30099238;550235.618727452;66602.3962876534;1.01152550216238;0.0185;1e-04;0.109;0.001;0.023;0.001;0.185;0.178;2061;0.001;0.001;2061;0;0;0;0.0567219463258063;0.082128951222068;0.109544328411226;33019.4067202709;45000;45000;43489.7315967366;2354.20252754742;1447.34249864448;1.00571833604655
"last";"ASSnone_HCR9_RECmix_INNvar_OERnone";"ASSnone";"HCR9";"RECmix";"INNvar";"OERnone";303561.054376892;363234.276860776;539937.356457637;748465.445913182;820692.832508956;550985.907055129;537656.359842814;63653.4971215934;1.01059629015293;0.0782;3e-04;0.169;0.001;0.087;0.001;0.782;0.74;NA;0.003;0.003;2061;0;0;0;0.0560661191699576;0.0812602594031824;0.109447768923302;22339.6947108131;45000;45000;41938.3755506012;2753.7063643676;1599.49702098313;1.00659341086531
"last";"ASSss3_HCR10_REClow_INNvar_OERnaq";"ASSss3";"HCR10";"REClow";"INNvar";"OERnaq";194937.426774309;209616.746555421;271294.551098498;353260.85702717;379175.052592729;276944.394302272;268531.654022302;30191.3403416721;1.00911267919372;0.8559;0.0553;0.998;0.268;0.873;0.071;8.559;7.204;NA;0.553;0.5;2067;0;0;0;0.0744517315318632;0.137468487323856;0.21093682682666;18118.4553839745;35238.374700194;50000;35688.7398835115;8862.26155088958;6761.2694572563;1.04878504098027
"last";"ASSss3_HCR10_REClowmed_INNvar_OERnaq";"ASSss3";"HCR10";"REClowmed";"INNvar";"OERnaq";364364.756796793;396240.142914128;541677.483928956;747229.626113218;818618.883504504;559765.358781405;542109.148071662;65874.5690730714;1.01137854979458;0.0288;4e-04;0.141;0.004;0.041;0.003;0.288;0.258;2061;0.004;0.004;2061;0;0;0;0.0627796790509499;0.0927518534090314;0.131527119427547;35345.330704675;50000;50000;48205.4154478011;2682.49762363368;1696.56266928092;1.00776614591382
"last";"ASSss3_HCR10_RECmix_INNvar_OERnaq";"ASSss3";"HCR10";"RECmix";"INNvar";"OERnaq";246709.738687609;278338.884979486;509688.918989744;729308.03991475;801262.296076866;513839.370130561;501565.339484993;59713.1033270167;1.01052349047843;0.1699;0.0053;0.267;0.032;0.178;0.007;1.699;1.5875;NA;0.053;0.0485;2061;0;0;0;0.0629360221227513;0.0954266185264179;0.15000954515032;23801.8478128664;50000;50000;45671.6630787258;3702.957033761;2373.00049936589;1.01323528577224
"last";"ASSss3_HCR7_REClow_INNvar_OERnaq";"ASSss3";"HCR7";"REClow";"INNvar";"OERnaq";286793.224498216;301094.069322356;368036.232352431;453630.300547598;481768.469875632;374304.431987323;368536.079119064;28956.6473698297;1.00391738980361;0.2888;0;0.736;0;0.311;0;2.888;2.25525;NA;0;0;2061;0.8324;1;8.324;0;0;0;0;1e-06;1e-06;8.318e-07;3.29991832124128e-07;2.75444444444445e-07;1
"last";"ASSss3_HCR7_REClowmed_INNvar_OERnaq";"ASSss3";"HCR7";"REClowmed";"INNvar";"OERnaq";498295.414567513;530262.890381218;678343.569315243;884553.55647559;954422.430492182;697257.682300183;677857.574186881;66267.4241975376;1.00669272109994;0;0;0;0;0;0;0;0;2061;0;0;2061;0.8169;1;8.169;0;0;0;0;1e-06;1e-06;8.078e-07;3.53250246907855e-07;3.05888888888889e-07;1
"last";"ASSss3_HCR7_RECmix_INNvar_OERnaq";"ASSss3";"HCR7";"RECmix";"INNvar";"OERnaq";496098.18493652;527857.712695995;675567.665368192;875617.148866062;942033.522112119;692276.645380256;676303.921853936;65277.2162399665;1.00607433789112;0;0;0;0;0;0;0;0;2061;0;0;2061;0.8124;1;8.124;0;0;0;0;1e-06;1e-06;8.072e-07;3.56817707892474e-07;3.09555555555556e-07;1
"last";"ASSss3_HCR8_REClow_INNvar_OERnaq";"ASSss3";"HCR8";"REClow";"INNvar";"OERnaq";200067.640707503;215422.272966333;275851.084487508;359877.8848874;386729.039792652;282622.596961045;272805.571917844;29413.7010075038;1.00656968434418;0.8323;0.0416;0.995;0.207;0.853;0.057;8.323;6.97366666666667;NA;0.416;0.3815;2061;0;0;0;0.0764864801171976;0.127720915409561;0.180538202288654;18616.940439063;37334.2402729562;40000;33564.7430647852;5773.16499044108;4175.87210705916;1.02830478638125
"last";"ASSss3_HCR8_REClowmed_INNvar_OERnaq";"ASSss3";"HCR8";"REClowmed";"INNvar";"OERnaq";389373.599808863;420325.555848515;567825.533479547;771143.491641972;838882.849973295;585638.72607289;569595.084175847;65859.9691719677;1.00977458845713;0.0139;0;0.079;0;0.02;0;0.139;0.13;2061;0;0;2061;0;0;0;0.0498646851826673;0.0721964876751465;0.102016578385355;39594.8858264244;40000;40000;39647.7032041244;667.863952130723;407.088793701356;1.00171582476728
"last";"ASSss3_HCR8_RECmix_INNvar_OERnaq";"ASSss3";"HCR8";"RECmix";"INNvar";"OERnaq";278972.047132343;352240.276286088;551285.953213091;757408.568846877;831802.477611313;558027.340085289;556823.580839342;62671.3313773837;1.01104970898037;0.0903;0.0024;0.155;0.016;0.094;0.006;0.903;0.834;NA;0.024;0.022;2061;0;0;0;0.05040258023757;0.0737737913342789;0.119007388850122;29490.5003377548;40000;40000;38854.0985066326;1239.77635577952;778.0751863986;1.00510093948582
"last";"ASSss3_HCR9_REClow_INNvar_OERnaq";"ASSss3";"HCR9";"REClow";"INNvar";"OERnaq";196533.442827772;211161.051650539;273000.855402755;355052.475105367;381215.878983618;278901.230786206;269074.71103169;30008.2852817181;1.008616149321;0.8455;0.0496;0.996;0.243;0.864;0.064;8.455;7.06183333333333;NA;0.496;0.456;2064;0;0;0;0.0745707414594509;0.1346494854801;0.197236440347051;18203.4767839285;36048.0910197142;45000;34859.6734512845;7517.02641093847;5584.66627187217;1.0422576992091
"last";"ASSss3_HCR9_REClowmed_INNvar_OERnaq";"ASSss3";"HCR9";"REClowmed";"INNvar";"OERnaq";377424.07551621;408829.505979759;558915.489644167;763958.145321275;829241.766875701;575077.724721776;562628.307490252;66463.9824521126;1.01307197564949;0.0205;0;0.097;0;0.028;0;0.205;0.1845;2061;0;0;2061;0;0;0;0.0565865318815238;0.0821142271760401;0.116217963811193;37568.1566407932;45000;45000;44130.7359990707;1407.64766340749;897.933118773565;1.00380571450078
"last";"ASSss3_HCR9_RECmix_INNvar_OERnaq";"ASSss3";"HCR9";"RECmix";"INNvar";"OERnaq";255762.678092347;302147.913916134;534249.827759634;755584.436452889;822674.323881796;538913.962776997;533611.743165087;61654.0320984878;1.01254762587059;0.1279;0.0044;0.195;0.026;0.14;0.008;1.279;1.20316666666667;NA;0.044;0.0395;2061;0;0;0;0.0566540772858004;0.0844505694562332;0.134079152536273;26126.9675480988;45000;45000;42583.6704232402;2157.3401802409;1462.51380349415;1.0100211461119
"all";"ASSnone_HCR10_REClow_INNvar_OERnone";"ASSnone";"HCR10";"REClow";"INNvar";"OERnone";232359.353980126;246272.58791187;305107.312544593;384366.272589099;411169.741032046;311497.725809694;300466.426490589;30522.1967615062;1.00475784505128;0.71392;0.00286;1;0.095;0.762;0.008;35.696;7.73070945165945;NA;0.143;0.1385;2021;0;0;0;0.0469687338730864;0.0777216396411304;0.116649609745122;11825.0207986066;22818.2109318341;42219.9823525795;24306.6872139945;8642.8382048486;5322.3486697792;1.03636988680037
"all";"ASSnone_HCR10_REClowmed_INNvar_OERnone";"ASSnone";"HCR10";"REClowmed";"INNvar";"OERnone";356155.629145833;389145.275693544;533106.971211656;738253.922425191;810834.646467363;552229.582276737;540139.353732237;66765.7210304494;1.01873997888696;0.03106;4e-05;0.577;0.002;0.162;0.001;1.553;1.0642;2024;0.002;0.002;2021;0;0;0;0.062242714190386;0.0908013820950233;0.119577990127289;29442.4526973309;50000;50000;46548.2655486369;6501.07783507542;2787.69633456274;1.02005691292596
"all";"ASSnone_HCR10_RECmix_INNvar_OERnone";"ASSnone";"HCR10";"RECmix";"INNvar";"OERnone";272752.169206917;309151.846752801;509966.696059661;722758.718636922;794908.412558569;519153.045766844;526455.84709949;61650.6534279821;1.01813912148494;0.13536;0.00062;0.665;0.019;0.319;0.003;6.768;4.65855;NA;0.031;0.03;2021;0;0;0;0.0585851377472699;0.0885783328749989;0.119041707494885;17949.0346997657;50000;50000;43361.5553864418;8833.94646020403;2949.29225141015;1.02132665640333
"all";"ASSnone_HCR7_REClow_INNvar_OERnone";"ASSnone";"HCR7";"REClow";"INNvar";"OERnone";283464.456394705;299998.645495964;366812.811628634;453957.072091813;482859.716073157;373096.812558471;366337.578538685;29226.9268874909;1.00591891068313;0.29988;2e-05;0.998;0.001;0.385;0.001;14.994;3.56508928571429;NA;0.001;0.001;2021;0.8174;1;40.87;0;0;0;0;1e-06;1e-06;8.8368e-07;2.94156420973605e-08;4.24489795918381e-09;1
"all";"ASSnone_HCR7_REClowmed_INNvar_OERnone";"ASSnone";"HCR7";"REClowmed";"INNvar";"OERnone";446879.596753902;493043.542235729;657377.560289627;867077.742220461;939665.801950324;671436.708600216;669831.159555163;66756.0839194389;1.01917640986237;0.00522;0;0.177;0;0.162;0;0.261;0.26;2022;0;0;2021;0.79426;1;39.713;0;0;0;0;1e-06;1e-06;8.778e-07;3.02641702347843e-08;4.36734693877564e-09;1
"all";"ASSnone_HCR7_RECmix_INNvar_OERnone";"ASSnone";"HCR7";"RECmix";"INNvar";"OERnone";406010.733620333;472063.36394083;651895.226335608;863772.049772072;935606.124062717;661115.611132078;669831.147618707;65762.2145987335;1.02049579660564;0.0262;0;0.333;0;0.319;0;1.31;1.237;2028;0;0;2021;0.7923;1;39.615;0;0;0;0;1e-06;1e-06;8.8074e-07;2.84256926036993e-08;4.10204081632666e-09;1
"all";"ASSnone_HCR8_REClow_INNvar_OERnone";"ASSnone";"HCR8";"REClow";"INNvar";"OERnone";232642.919627312;246516.713544963;305640.520057873;385832.19666057;413296.496679932;312257.226403992;300729.231475967;30424.8957930617;1.00471730190881;0.7085;0.00282;1;0.093;0.754;0.008;35.425;7.73089953102453;NA;0.141;0.1365;2021;0;0;0;0.0470070294305876;0.0778210349486305;0.110031454874665;11849.0088941072;22877.6485541312;40000;24023.5485514369;7900.16680555591;4817.63202217338;1.0331401783407
"all";"ASSnone_HCR8_REClowmed_INNvar_OERnone";"ASSnone";"HCR8";"REClowmed";"INNvar";"OERnone";368293.038866903;403351.531808322;554403.122573941;761458.017632821;833919.764371237;572100.50713396;562931.317308689;66439.9024090806;1.01864212658781;0.02328;4e-05;0.474;0.002;0.162;0.001;1.164;0.86575;2024;0.002;0.002;2021;0;0;0;0.0499482412557731;0.0729151391280005;0.0999368651418596;30993.9862862784;40000;40000;38964.633517776;2938.07101151795;968.155582459292;1.00903376646211
"all";"ASSnone_HCR8_RECmix_INNvar_OERnone";"ASSnone";"HCR8";"RECmix";"INNvar";"OERnone";279678.074854791;324672.162172662;533981.940892221;748273.008932831;820569.215714555;541642.470767141;552232.353254809;62147.979496889;1.0185828448654;0.11284;0.00048;0.577;0.016;0.319;0.002;5.642;4.09358333333333;NA;0.024;0.023;2021;0;0;0;0.0494894245176293;0.0729102294424929;0.100175510258567;19044.3400029584;40000;40000;37051.1270547156;4822.95359994332;1296.0956439425;1.01187181351498
"all";"ASSnone_HCR9_REClow_INNvar_OERnone";"ASSnone";"HCR9";"REClow";"INNvar";"OERnone";232485.520487988;246347.899665711;305282.957435028;384908.065371501;412020.132128558;311753.339735341;300592.16593037;30486.7285450431;1.00474125970616;0.71198;0.00284;1;0.094;0.761;0.008;35.599;7.74312254689755;NA;0.142;0.1375;2021;0;0;0;0.046981443286428;0.0777729116374158;0.114092172051267;11834.0183084862;22833.3652446084;42428.0458298061;24211.9866387958;8364.46128180712;5138.7606111173;1.03513781545322
"all";"ASSnone_HCR9_REClowmed_INNvar_OERnone";"ASSnone";"HCR9";"REClowmed";"INNvar";"OERnone";361395.321253524;395417.19392789;543435.710353178;749469.605043872;821678.998053757;561575.725900582;550235.618727452;66573.5081102644;1.0186760514171;0.02742;4e-05;0.531;0.002;0.162;0.001;1.371;0.9672;2024;0.002;0.002;2021;0;0;0;0.0565837655110981;0.0822853390648112;0.110223071860066;30070.8653032892;45000;45000;42988.5190908214;4603.99407597752;1751.64597675353;1.01414485442589
"all";"ASSnone_HCR9_RECmix_INNvar_OERnone";"ASSnone";"HCR9";"RECmix";"INNvar";"OERnone";275699.336866907;315716.140235292;521288.990525857;734667.353013049;807828.240459735;529769.501266051;537656.359842814;61873.6714143382;1.01829635406494;0.12426;0.00056;0.632;0.018;0.319;0.002;6.213;4.43696666666667;NA;0.028;0.027;2021;0;0;0;0.0548492505595916;0.0812304779469074;0.110032954155461;18499.2976124067;45000;45000;40456.4582535077;6754.47787505996;2020.56249251366;1.01624870804153
"all";"ASSss3_HCR10_REClow_INNvar_OERnaq";"ASSss3";"HCR10";"REClow";"INNvar";"OERnaq";202462.632553377;218407.830577692;282692.360094005;367631.04770605;397574.450189379;289139.814663578;268531.654022302;30752.6493039729;1.00358717980138;0.80802;0.0365;1;0.573;0.873;0.077;40.401;12.6123119047619;NA;1.825;1.17168333333333;2021;0;0;0;0.0623750255600426;0.119342649237698;0.197321908206216;16250.5614913374;31952.0333899061;50000;33188.4171228725;10716.5447217213;6769.32020300291;1.04933821982852
"all";"ASSss3_HCR10_REClowmed_INNvar_OERnaq";"ASSss3";"HCR10";"REClowmed";"INNvar";"OERnaq";352015.278929634;386869.441732659;533936.108354602;739907.171805866;814752.187543919;552459.678518134;542109.148071662;66594.4444532093;1.01834568284554;0.0359;0.00024;0.587;0.008;0.175;0.003;1.795;1.19108333333333;2025;0.012;0.01;2021;0;0;0;0.0609953114011204;0.09180636511891;0.130204766225785;30894.6329505403;50000;50000;47236.4581440285;5798.16713840855;2272.07739318053;1.01950645981876
"all";"ASSss3_HCR10_RECmix_INNvar_OERnaq";"ASSss3";"HCR10";"RECmix";"INNvar";"OERnaq";243992.21948269;272217.601154032;493679.180009206;714649.205562081;789435.688035447;498666.085105231;501565.339484993;58757.1323072986;1.01635718706816;0.20162;0.00666;0.668;0.122;0.319;0.015;10.081;6.99208333333333;NA;0.333;0.233833333333333;2021;0;0;0;0.0610080257625164;0.0943453454095501;0.148850180398592;21100.4801674751;50000;50000;44074.1492446317;8093.96086046884;3020.19435410462;1.02481392712676
"all";"ASSss3_HCR7_REClow_INNvar_OERnaq";"ASSss3";"HCR7";"REClow";"INNvar";"OERnaq";284310.968287732;300548.733420181;367620.683121385;454039.107263422;484633.759839191;374031.628408887;368536.079119064;29155.8952193814;1.0055045625504;0.29466;4e-05;0.997;0.002;0.374;0.002;14.733;3.56261944444444;NA;0.002;0.002;2021;0.83124;1;41.562;0;0;0;0;1e-06;1e-06;8.1662e-07;3.81937968172492e-07;2.91163265306123e-07;1
"all";"ASSss3_HCR7_REClowmed_INNvar_OERnaq";"ASSss3";"HCR7";"REClowmed";"INNvar";"OERnaq";447651.552292469;495195.989490901;659412.549579082;869573.695349403;944997.020398947;673898.667595874;677857.574186881;66602.9326850281;1.01897118370879;0.00586;4e-05;0.19;0.002;0.177;0.002;0.293;0.289;2023;0.002;0.002;2021;0.81354;1;40.677;0;0;0;0;1e-06;1e-06;8.0714e-07;3.87020041790189e-07;3.07918367346939e-07;1
"all";"ASSss3_HCR7_RECmix_INNvar_OERnaq";"ASSss3";"HCR7";"RECmix";"INNvar";"OERnaq";406464.553199342;475067.377562799;653428.898744267;864188.707372722;939508.776728928;662893.593963349;676303.921853936;65366.0300607151;1.01986710185194;0.02768;0;0.333;0;0.322;0;1.384;1.294;2028;0;0;2021;0.80894;1;40.447;0;0;0;0;1e-06;1e-06;8.0786e-07;3.86524892779203e-07;3.0834693877551e-07;1
"all";"ASSss3_HCR8_REClow_INNvar_OERnaq";"ASSss3";"HCR8";"REClow";"INNvar";"OERnaq";207727.777509066;223200.82852462;287458.804190742;373340.44432133;403283.272724393;294080.955614824;272805.571917844;30410.1694333246;1.00349441184651;0.78478;0.02754;1;0.496;0.853;0.057;39.239;11.6375095238095;NA;1.377;0.94985;2021;0;0;0;0.0632156602828564;0.115191174921378;0.169912502987334;16564.2581333822;33278.1058535554;40000;31594.7556776697;7871.73798915431;4639.57137214967;1.03535943901429
"all";"ASSss3_HCR8_REClowmed_INNvar_OERnaq";"ASSss3";"HCR8";"REClowmed";"INNvar";"OERnaq";365790.608509047;402880.529617898;554565.760456029;763021.213556523;839056.558741395;572744.027083481;569595.084175847;66097.6540347245;1.0183198194801;0.02578;2e-04;0.477;0.006;0.181;0.003;1.289;0.949416666666667;2025;0.01;0.009;2021;0;0;0;0.0491801780505403;0.0728987500638393;0.104698874278901;32746.6803748891;40000;40000;39147.9936411132;2602.3239525066;786.247279582607;1.00999770140925
"all";"ASSss3_HCR8_RECmix_INNvar_OERnaq";"ASSss3";"HCR8";"RECmix";"INNvar";"OERnaq";254832.738897844;288842.530514189;525436.282484578;743149.067537143;819671.356466353;528701.244665936;556823.580839342;60266.2724281518;1.01772344957564;0.15712;0.00402;0.57;0.081;0.323;0.011;7.856;5.84858333333333;NA;0.201;0.144583333333333;2021;0;0;0;0.0498332159169096;0.0753332330828224;0.127066642089159;21993.1047068015;40000;40000;37546.0502752355;4253.77925673302;1418.41049028787;1.0149674774254
"all";"ASSss3_HCR9_REClow_INNvar_OERnaq";"ASSss3";"HCR9";"REClow";"INNvar";"OERnaq";203920.396183141;219583.455074241;284677.313770058;370154.75535739;399958.497772134;290964.637239377;269074.71103169;30602.5877731271;1.00349775682687;0.79854;0.03406;1;0.556;0.864;0.064;39.927;12.3624178571429;NA;1.703;1.11636666666667;2021;0;0;0;0.0622709241036448;0.118687791096397;0.184972958144984;16172.6924641852;32453.3843549268;45000;32549.1975818183;9495.16964412622;5825.88640895282;1.04438923446661
"all";"ASSss3_HCR9_REClowmed_INNvar_OERnaq";"ASSss3";"HCR9";"REClowmed";"INNvar";"OERnaq";357527.300463572;393451.011555197;543759.0438553;749550.064783949;823397.817794;561253.508838991;562628.307490252;66042.4083401098;1.01864591063147;0.03154;0.00018;0.521;0.005;0.177;0.002;1.577;1.08983333333333;2025;0.009;0.008;2021;0;0;0;0.0557198812052067;0.0827484683891486;0.118165461207669;31855.9397990609;45000;45000;43397.1445770787;4038.87667159929;1398.98181504531;1.01436578657881
"all";"ASSss3_HCR9_RECmix_INNvar_OERnaq";"ASSss3";"HCR9";"RECmix";"INNvar";"OERnaq";246502.726567769;277171.59085529;509354.961472969;729443.084884283;806154.02920687;512459.691900506;533611.743165087;59492.7090764764;1.01718677435715;0.18388;0.00602;0.604;0.115;0.328;0.013;9.194;6.57683333333333;NA;0.301;0.208833333333333;2021;0;0;0;0.0559238374042842;0.085214283156116;0.140009700979377;21483.6790442163;45000;45000;41011.16789167;6105.06115851648;2165.49359489069;1.02030766375142
