period,scenario,Ass,Rule,Rec,INN,OER,q025,q50,q975,Mean,Median_Last_Yr,Risk1_med,Risk2_med,Risk3_med,Risk1_low,Risk2_low,Risk3_low,Risk1_meanR_low,Risk1_Q975_low,Risk1_meanR_med,Risk1_Q975_med,Risk1_rec2019
initial,ASSnone_HCR0_REClow_INNvar_OERnone,ASSnone,HCR0,REClow,INNvar,OERnone,3023208.686,6998635.52,16363277.69,7665206.794,6930795.876,0.489,0.879,0.588,0,0,0,0.5008,0.0268,0.0922,0,0.0226
initial,ASSnone_HCR0_REClowmed_INNvar_OERnone,ASSnone,HCR0,REClowmed,INNvar,OERnone,4359591.355,12228567.54,34805009.84,14122341.17,12201380.47,0.0686,0.233,0.162,0,0,0,0.8588,0.3082,0.4944,0.026,0.2764
initial,ASSnone_HCR0_RECmix_INNvar_OERnone,ASSnone,HCR0,RECmix,INNvar,OERnone,3771906.738,10790781.8,33184273.31,12766037.95,11200743.34,0.219,0.375,0.319,0,0,0,0.7854,0.248,0.41,0.0206,0.2232
initial,ASSnone_HCR10_REClow_INNvar_OERnone,ASSnone,HCR10,REClow,INNvar,OERnone,3023208.686,6998635.52,16363277.69,7664955.685,6930795.876,0.5718,0.888,0.695,0.001,0.003,0.002,0.5008,0.0268,0.0922,0,0.0226
initial,ASSnone_HCR10_REClowmed_INNvar_OERnone,ASSnone,HCR10,REClowmed,INNvar,OERnone,4347090.506,12165080.48,34764150.4,14085665.41,12196069.7,0.0858,0.244,0.162,0,0,0,0.857,0.3052,0.492,0.0258,0.2748
initial,ASSnone_HCR10_RECmix_INNvar_OERnone,ASSnone,HCR10,RECmix,INNvar,OERnone,3669095.814,10475797.34,32412292.77,12393612.09,10665557.39,0.2756,0.378,0.319,0.001,0.003,0.002,0.7632,0.234,0.389,0.0186,0.2098
initial,ASSnone_HCR11_REClow_INNvar_OERnone,ASSnone,HCR11,REClow,INNvar,OERnone,3023208.686,6998635.52,16363277.69,7665200.462,6930795.876,0.4204,0.734,0.47,2.00E-04,0.001,0.001,0.5008,0.0268,0.0922,0,0.0226
initial,ASSnone_HCR11_REClowmed_INNvar_OERnone,ASSnone,HCR11,REClowmed,INNvar,OERnone,4349550.711,12228567.54,34911667.19,14130490.2,12210575.13,0.0594,0.188,0.162,0,0,0,0.8594,0.3084,0.4944,0.0264,0.277
initial,ASSnone_HCR11_RECmix_INNvar_OERnone,ASSnone,HCR11,RECmix,INNvar,OERnone,3788243.193,10751276.15,33123983.98,12737211.7,11200743.34,0.224,0.341,0.319,2.00E-04,0.001,0.001,0.7806,0.2476,0.409,0.0202,0.2218
initial,ASSnone_HCR13_REClow_INNvar_OERnone,ASSnone,HCR13,REClow,INNvar,OERnone,3023208.686,6998635.52,16363277.69,7664979.212,6930795.876,0.557,0.872,0.675,8.00E-04,0.002,0.002,0.5008,0.0268,0.0922,0,0.0226
initial,ASSnone_HCR13_REClowmed_INNvar_OERnone,ASSnone,HCR13,REClowmed,INNvar,OERnone,4347090.506,12185313.57,34764150.4,14094204.51,12201380.47,0.0794,0.227,0.162,0,0,0,0.8576,0.306,0.4924,0.026,0.275
initial,ASSnone_HCR13_RECmix_INNvar_OERnone,ASSnone,HCR13,RECmix,INNvar,OERnone,3680263.774,10489741.2,32639110.61,12429394.29,10700360.25,0.2706,0.366,0.319,8.00E-04,0.002,0.002,0.7644,0.2352,0.3906,0.019,0.2108
initial,ASSnone_HCR14_REClow_INNvar_OERnone,ASSnone,HCR14,REClow,INNvar,OERnone,3023208.686,6998635.52,16363277.69,7664979.212,6930795.876,0.5384,0.856,0.655,8.00E-04,0.002,0.002,0.5008,0.0268,0.0922,0,0.0226
initial,ASSnone_HCR14_REClowmed_INNvar_OERnone,ASSnone,HCR14,REClowmed,INNvar,OERnone,4347547.058,12190562.42,34802336.18,14100051.57,12201380.47,0.077,0.216,0.162,0,0,0,0.8578,0.3064,0.4926,0.026,0.275
initial,ASSnone_HCR14_RECmix_INNvar_OERnone,ASSnone,HCR14,RECmix,INNvar,OERnone,3686034.258,10522070.91,32751399.33,12471758.39,10723716.86,0.2644,0.358,0.319,8.00E-04,0.002,0.002,0.7674,0.2366,0.3928,0.0194,0.2122
initial,ASSnone_HCR7_REClow_INNvar_OERnone,ASSnone,HCR7,REClow,INNvar,OERnone,3023208.686,6998635.52,16363277.69,7665206.794,6930795.876,0.3222,0.616,0.385,0,0,0,0.5008,0.0268,0.0922,0,0.0226
initial,ASSnone_HCR7_REClowmed_INNvar_OERnone,ASSnone,HCR7,REClowmed,INNvar,OERnone,4384518.16,12238298.6,35094122.87,14143498.36,12210575.13,0.0498,0.171,0.162,0,0,0,0.8598,0.31,0.4954,0.0264,0.2776
initial,ASSnone_HCR7_RECmix_INNvar_OERnone,ASSnone,HCR7,RECmix,INNvar,OERnone,3875277.487,11018630.85,33461758.89,12979464.86,11522120.05,0.1866,0.329,0.319,0,0,0,0.796,0.2578,0.4238,0.0214,0.2312
initial,ASSnone_HCR8_REClow_INNvar_OERnone,ASSnone,HCR8,REClow,INNvar,OERnone,3023208.686,6998635.52,16363277.69,7664979.212,6930795.876,0.5656,0.879,0.685,8.00E-04,0.002,0.002,0.5008,0.0268,0.0922,0,0.0226
initial,ASSnone_HCR8_REClowmed_INNvar_OERnone,ASSnone,HCR8,REClowmed,INNvar,OERnone,4347090.506,12180066.24,34764150.4,14090239.48,12196069.7,0.0826,0.235,0.162,0,0,0,0.8574,0.3054,0.4922,0.0258,0.275
initial,ASSnone_HCR8_RECmix_INNvar_OERnone,ASSnone,HCR8,RECmix,INNvar,OERnone,3675088.319,10480531.45,32639110.61,12410927.34,10700360.25,0.2738,0.372,0.319,8.00E-04,0.002,0.002,0.7636,0.2342,0.3894,0.019,0.21
initial,ASSnone_HCR9_REClow_INNvar_OERnone,ASSnone,HCR9,REClow,INNvar,OERnone,3023208.686,6998635.52,16363277.69,7664955.685,6930795.876,0.5696,0.886,0.692,0.001,0.003,0.002,0.5008,0.0268,0.0922,0,0.0226
initial,ASSnone_HCR9_REClowmed_INNvar_OERnone,ASSnone,HCR9,REClowmed,INNvar,OERnone,4347090.506,12175766.65,34764150.4,14087526.51,12196069.7,0.085,0.242,0.162,0,0,0,0.8572,0.3052,0.492,0.0258,0.2748
initial,ASSnone_HCR9_RECmix_INNvar_OERnone,ASSnone,HCR9,RECmix,INNvar,OERnone,3669095.814,10475797.34,32412292.77,12393612.09,10665557.39,0.2756,0.378,0.319,0.001,0.003,0.002,0.7632,0.234,0.389,0.0186,0.2098
initial,ASSss3_HCR0_REClow_INNvar_OERnaq,ASSss3,HCR0,REClow,INNvar,OERnaq,3031256.572,6902312.807,16189947.23,7560721.146,6930795.876,0.5452,0.881,0.691,0.0026,0.012,0.008,0.4868,0.0272,0.088,0,0.0206
initial,ASSss3_HCR0_REClowmed_INNvar_OERnaq,ASSss3,HCR0,REClowmed,INNvar,OERnaq,4329405.163,11880630.87,34262609.02,13802492.46,11882250.68,0.0898,0.257,0.166,2.00E-04,0.001,0.001,0.8438,0.2908,0.4722,0.0246,0.263
initial,ASSss3_HCR0_RECmix_INNvar_OERnaq,ASSss3,HCR0,RECmix,INNvar,OERnaq,3705647.069,10299575.46,31314981.67,12170776.57,10610964.75,0.2652,0.388,0.315,0.002,0.007,0.004,0.764,0.2252,0.3762,0.018,0.1986
initial,ASSss3_HCR10_REClow_INNvar_OERnaq,ASSss3,HCR10,REClow,INNvar,OERnaq,2999009.95,6949634.944,16115851.37,7587970.432,6914884.179,0.5872,0.901,0.74,0.0026,0.01,0.006,0.4936,0.0262,0.091,0,0.0192
initial,ASSss3_HCR10_REClowmed_INNvar_OERnaq,ASSss3,HCR10,REClowmed,INNvar,OERnaq,4342142.512,12004754.82,35067064.56,13922162.55,12062018.91,0.0956,0.256,0.175,0.001,0.003,0.002,0.8526,0.2956,0.478,0.028,0.2672
initial,ASSss3_HCR10_RECmix_INNvar_OERnaq,ASSss3,HCR10,RECmix,INNvar,OERnaq,3672781.353,10229478.53,32354858.29,12151923.87,10418823.72,0.2912,0.388,0.319,0.001,0.004,0.003,0.7558,0.2182,0.3668,0.0204,0.196
initial,ASSss3_HCR11_REClow_INNvar_OERnaq,ASSss3,HCR11,REClow,INNvar,OERnaq,3031215.25,6841961.189,15833966.59,7507556.867,6841897.327,0.4322,0.74,0.498,2.00E-04,0.001,0.001,0.4796,0.0238,0.0856,0,0.0174
initial,ASSss3_HCR11_REClowmed_INNvar_OERnaq,ASSss3,HCR11,REClowmed,INNvar,OERnaq,4365285.426,11911537.27,34789404.08,13823248.63,12088719.29,0.0654,0.199,0.178,2.00E-04,0.001,0.001,0.8536,0.29,0.4714,0.0268,0.262
initial,ASSss3_HCR11_RECmix_INNvar_OERnaq,ASSss3,HCR11,RECmix,INNvar,OERnaq,3720284.651,10440643.82,32974327.7,12351659.19,10829387.48,0.2328,0.336,0.317,4.00E-04,0.002,0.001,0.7644,0.2316,0.382,0.0214,0.2074
initial,ASSss3_HCR13_REClow_INNvar_OERnaq,ASSss3,HCR13,REClow,INNvar,OERnaq,2980596.555,6851063.696,16115851.37,7533617.12,6819952.001,0.5662,0.877,0.714,0.0014,0.005,0.003,0.4818,0.0266,0.0896,0,0.0198
initial,ASSss3_HCR13_REClowmed_INNvar_OERnaq,ASSss3,HCR13,REClowmed,INNvar,OERnaq,4269843.424,12060890.04,35071957.1,13949288.98,12187504.05,0.0874,0.232,0.176,0.0012,0.004,0.004,0.8494,0.2934,0.4816,0.0274,0.2656
initial,ASSss3_HCR13_RECmix_INNvar_OERnaq,ASSss3,HCR13,RECmix,INNvar,OERnaq,3642953.188,10204524.69,33257301.59,12237516.24,10355100.02,0.2802,0.364,0.319,8.00E-04,0.003,0.002,0.7486,0.2252,0.3774,0.0226,0.201
initial,ASSss3_HCR14_REClow_INNvar_OERnaq,ASSss3,HCR14,REClow,INNvar,OERnaq,3021796.742,6861893.18,16078178.67,7538628.069,6874715.406,0.547,0.854,0.675,0.001,0.004,0.003,0.4816,0.0254,0.0904,0,0.0192
initial,ASSss3_HCR14_REClowmed_INNvar_OERnaq,ASSss3,HCR14,REClowmed,INNvar,OERnaq,4247494.157,11887815.68,34068212.85,13770830.45,11914699.61,0.0808,0.215,0.169,0.001,0.003,0.002,0.8492,0.2892,0.4718,0.025,0.2596
initial,ASSss3_HCR14_RECmix_INNvar_OERnaq,ASSss3,HCR14,RECmix,INNvar,OERnaq,3641220.724,10255089.97,31868615.92,12160646.88,10358383.03,0.2668,0.351,0.324,0.001,0.004,0.002,0.7576,0.2216,0.375,0.0182,0.1972
initial,ASSss3_HCR7_REClow_INNvar_OERnaq,ASSss3,HCR7,REClow,INNvar,OERnaq,2980596.555,6827605.896,15818363.17,7508135.437,6930795.876,0.3404,0.593,0.374,4.00E-04,0.002,0.002,0.4786,0.0238,0.0872,0,0.017
initial,ASSss3_HCR7_REClowmed_INNvar_OERnaq,ASSss3,HCR7,REClowmed,INNvar,OERnaq,4308191.519,12044445.09,34792346.47,13875735.57,12079012.17,0.057,0.188,0.177,4.00E-04,0.002,0.002,0.853,0.2914,0.4786,0.0266,0.2616
initial,ASSss3_HCR7_RECmix_INNvar_OERnaq,ASSss3,HCR7,RECmix,INNvar,OERnaq,3758488.465,10795204.44,33257301.59,12713399.21,11221112.54,0.1936,0.331,0.322,0,0,0,0.7834,0.245,0.4064,0.0202,0.218
initial,ASSss3_HCR8_REClow_INNvar_OERnaq,ASSss3,HCR8,REClow,INNvar,OERnaq,3031489.243,6914126.407,16194939.54,7588083.77,6936823.045,0.5706,0.885,0.719,0.0014,0.005,0.002,0.489,0.0282,0.0936,0,0.0204
initial,ASSss3_HCR8_REClowmed_INNvar_OERnaq,ASSss3,HCR8,REClowmed,INNvar,OERnaq,4329405.163,11940512.69,34263334.52,13758940.6,12196892.83,0.0954,0.247,0.181,0.0012,0.004,0.003,0.8484,0.2874,0.4716,0.0248,0.2602
initial,ASSss3_HCR8_RECmix_INNvar_OERnaq,ASSss3,HCR8,RECmix,INNvar,OERnaq,3619515.925,10092996.48,32367036.74,12058985.5,10293300.37,0.287,0.38,0.323,0.0012,0.003,0.002,0.7508,0.2132,0.3644,0.0202,0.1906
initial,ASSss3_HCR9_REClow_INNvar_OERnaq,ASSss3,HCR9,REClow,INNvar,OERnaq,3031483.078,6910501.487,16115851.37,7564066.234,6794441.917,0.579,0.887,0.734,0.0024,0.009,0.005,0.4896,0.0264,0.091,0,0.019
initial,ASSss3_HCR9_REClowmed_INNvar_OERnaq,ASSss3,HCR9,REClowmed,INNvar,OERnaq,4329065.848,12078889.38,34141573.57,13861180.02,12276336.26,0.0978,0.254,0.177,0.001,0.003,0.002,0.8514,0.2944,0.4782,0.0248,0.2642
initial,ASSss3_HCR9_RECmix_INNvar_OERnaq,ASSss3,HCR9,RECmix,INNvar,OERnaq,3641162.831,10133407.3,31965195.88,12094625.23,10479331.35,0.2912,0.38,0.328,8.00E-04,0.003,0.002,0.7512,0.2194,0.3646,0.0196,0.1954
short,ASSnone_HCR0_REClow_INNvar_OERnone,ASSnone,HCR0,REClow,INNvar,OERnone,3053175.417,6993471.07,15883090.83,7640481.941,6867710.637,0.538,0.991,0.597,0,0,0,0.5001,0.0236,0.0905,0,0.0195
short,ASSnone_HCR0_REClowmed_INNvar_OERnone,ASSnone,HCR0,REClowmed,INNvar,OERnone,4422410.323,12274907.89,33905742.65,14075314.64,12069372.06,0.0504,0.314,0.162,0,0,0,0.8604,0.3057,0.4956,0.0231,0.2769
short,ASSnone_HCR0_RECmix_INNvar_OERnone,ASSnone,HCR0,RECmix,INNvar,OERnone,3926503.358,11200544.08,32751399.33,13027563.33,11615649.8,0.1709,0.444,0.319,0,0,0,0.8023,0.2599,0.4295,0.0192,0.2363
short,ASSnone_HCR10_REClow_INNvar_OERnone,ASSnone,HCR10,REClow,INNvar,OERnone,3053175.417,6993471.07,15883090.83,7640135.473,6867710.637,0.6489,0.99,0.75,0.0012,0.008,0.003,0.5001,0.0236,0.0905,0,0.0195
short,ASSnone_HCR10_REClowmed_INNvar_OERnone,ASSnone,HCR10,REClowmed,INNvar,OERnone,4411230.866,12243803.25,33893363.34,14052865.69,12073515.1,0.0597,0.307,0.162,1.00E-04,0.001,0.001,0.8593,0.3041,0.4945,0.023,0.2761
short,ASSnone_HCR10_RECmix_INNvar_OERnone,ASSnone,HCR10,RECmix,INNvar,OERnone,3790296.782,10696793.57,32141296.59,12576625.64,11090097.83,0.2415,0.434,0.319,8.00E-04,0.004,0.002,0.7749,0.2408,0.4015,0.0175,0.2183
short,ASSnone_HCR11_REClow_INNvar_OERnone,ASSnone,HCR11,REClow,INNvar,OERnone,3053175.417,6993471.07,15883090.83,7640474.967,6867710.637,0.4506,0.896,0.492,2.00E-04,0.001,0.001,0.5001,0.0236,0.0905,0,0.0195
short,ASSnone_HCR11_REClowmed_INNvar_OERnone,ASSnone,HCR11,REClowmed,INNvar,OERnone,4422410.323,12289667.52,33905917.45,14092661.42,12073515.1,0.0312,0.193,0.162,0,0,0,0.8608,0.3064,0.4967,0.0233,0.2781
short,ASSnone_HCR11_RECmix_INNvar_OERnone,ASSnone,HCR11,RECmix,INNvar,OERnone,3962808.715,11253510.15,32994483.05,13094591.84,11729120.63,0.1602,0.344,0.319,2.00E-04,0.001,0.001,0.8035,0.2629,0.434,0.0195,0.2386
short,ASSnone_HCR13_REClow_INNvar_OERnone,ASSnone,HCR13,REClow,INNvar,OERnone,3053175.417,6993471.07,15883090.83,7640149.589,6867710.637,0.6325,0.984,0.733,0.0011,0.007,0.003,0.5001,0.0236,0.0905,0,0.0195
short,ASSnone_HCR13_REClowmed_INNvar_OERnone,ASSnone,HCR13,REClowmed,INNvar,OERnone,4414303.359,12270384.22,33893363.34,14064390.78,12073515.1,0.0495,0.261,0.162,1.00E-04,0.001,0.001,0.8598,0.3047,0.4953,0.0231,0.2768
short,ASSnone_HCR13_RECmix_INNvar_OERnone,ASSnone,HCR13,RECmix,INNvar,OERnone,3830145.982,10791064.27,32279049.44,12665686.73,11156274.39,0.2273,0.397,0.319,7.00E-04,0.003,0.002,0.7798,0.2446,0.4072,0.0179,0.2217
short,ASSnone_HCR14_REClow_INNvar_OERnone,ASSnone,HCR14,REClow,INNvar,OERnone,3053175.417,6993471.07,15883090.83,7640163.073,6867710.637,0.6143,0.975,0.706,0.0011,0.007,0.003,0.5001,0.0236,0.0905,0,0.0195
short,ASSnone_HCR14_REClowmed_INNvar_OERnone,ASSnone,HCR14,REClowmed,INNvar,OERnone,4422410.323,12272565.32,33893363.34,14070018.35,12073515.1,0.0465,0.24,0.162,1.00E-04,0.001,0.001,0.8599,0.3052,0.4955,0.0231,0.2768
short,ASSnone_HCR14_RECmix_INNvar_OERnone,ASSnone,HCR14,RECmix,INNvar,OERnone,3855189.536,10846582.91,32340502.49,12721852.58,11258929.38,0.218,0.383,0.319,7.00E-04,0.003,0.002,0.7836,0.2467,0.4106,0.0182,0.2236
short,ASSnone_HCR7_REClow_INNvar_OERnone,ASSnone,HCR7,REClow,INNvar,OERnone,3053175.417,6993471.07,15883090.83,7640481.941,6867710.637,0.3128,0.775,0.385,0,0,0,0.5001,0.0236,0.0905,0,0.0195
short,ASSnone_HCR7_REClowmed_INNvar_OERnone,ASSnone,HCR7,REClowmed,INNvar,OERnone,4437817.54,12297654.63,33914791.39,14100970.98,12073515.1,0.0255,0.172,0.162,0,0,0,0.8611,0.3072,0.4973,0.0234,0.2784
short,ASSnone_HCR7_RECmix_INNvar_OERnone,ASSnone,HCR7,RECmix,INNvar,OERnone,4058518.999,11555932.79,33253168.65,13363457.45,11978120.27,0.1174,0.33,0.319,0,0,0,0.8208,0.2739,0.4516,0.0204,0.2484
short,ASSnone_HCR8_REClow_INNvar_OERnone,ASSnone,HCR8,REClow,INNvar,OERnone,3053175.417,6993471.07,15883090.83,7640147.283,6867710.637,0.6417,0.988,0.742,0.0011,0.007,0.003,0.5001,0.0236,0.0905,0,0.0195
short,ASSnone_HCR8_REClowmed_INNvar_OERnone,ASSnone,HCR8,REClowmed,INNvar,OERnone,4414303.359,12261654.42,33893363.34,14059628.21,12073515.1,0.0542,0.279,0.162,1.00E-04,0.001,0.001,0.8597,0.3044,0.495,0.023,0.2765
short,ASSnone_HCR8_RECmix_INNvar_OERnone,ASSnone,HCR8,RECmix,INNvar,OERnone,3798939.177,10755547.21,32279049.44,12631992.74,11113068.94,0.233,0.411,0.319,7.00E-04,0.003,0.002,0.7784,0.243,0.4048,0.0179,0.2202
short,ASSnone_HCR9_REClow_INNvar_OERnone,ASSnone,HCR9,REClow,INNvar,OERnone,3053175.417,6993471.07,15883090.83,7640135.473,6867710.637,0.6462,0.99,0.749,0.0012,0.008,0.003,0.5001,0.0236,0.0905,0,0.0195
short,ASSnone_HCR9_REClowmed_INNvar_OERnone,ASSnone,HCR9,REClowmed,INNvar,OERnone,4413436.787,12254473.28,33893363.34,14055779.19,12073515.1,0.0574,0.292,0.162,1.00E-04,0.001,0.001,0.8596,0.3043,0.4947,0.023,0.2762
short,ASSnone_HCR9_RECmix_INNvar_OERnone,ASSnone,HCR9,RECmix,INNvar,OERnone,3795665.103,10734177.97,32142558.51,12605070.33,11106642.51,0.237,0.422,0.319,8.00E-04,0.004,0.002,0.7763,0.2422,0.4038,0.0176,0.2196
short,ASSss3_HCR0_REClow_INNvar_OERnaq,ASSss3,HCR0,REClow,INNvar,OERnaq,3076633.393,6959280.551,15794403.32,7587781.921,7283678.954,0.6389,0.992,0.748,0.0075,0.051,0.016,0.495,0.0236,0.0856,0,0.019
short,ASSss3_HCR0_REClowmed_INNvar_OERnaq,ASSss3,HCR0,REClowmed,INNvar,OERnaq,4390688.576,12078534.36,34511376.17,13911895.94,12231918.36,0.0738,0.35,0.166,4.00E-04,0.003,0.002,0.8543,0.2919,0.4816,0.0256,0.2632
short,ASSss3_HCR0_RECmix_INNvar_OERnaq,ASSss3,HCR0,RECmix,INNvar,OERnaq,3807881.366,10583517.87,31868615.92,12453915.92,11292278.92,0.2397,0.47,0.315,0.0028,0.018,0.006,0.7755,0.2348,0.3924,0.0196,0.2082
short,ASSss3_HCR10_REClow_INNvar_OERnaq,ASSss3,HCR10,REClow,INNvar,OERnaq,3056025.734,6999114.045,15752897.53,7605145.718,7192302.697,0.6914,0.994,0.803,0.0096,0.06,0.022,0.5008,0.0234,0.0867,1.00E-04,0.0181
short,ASSss3_HCR10_REClowmed_INNvar_OERnaq,ASSss3,HCR10,REClowmed,INNvar,OERnaq,4466287.412,12180879.68,34961607.65,14020435.15,12371279.92,0.069,0.324,0.175,7.00E-04,0.004,0.002,0.858,0.2978,0.4873,0.0272,0.27
short,ASSss3_HCR10_RECmix_INNvar_OERnaq,ASSss3,HCR10,RECmix,INNvar,OERnaq,3784048.729,10380830.61,31736304.68,12290872.98,10779354.5,0.2742,0.452,0.319,0.0032,0.019,0.007,0.7655,0.2236,0.3775,0.019,0.2009
short,ASSss3_HCR11_REClow_INNvar_OERnaq,ASSss3,HCR11,REClow,INNvar,OERnaq,3067613.758,6949634.944,15747052.88,7575171.787,7268892.422,0.4761,0.925,0.538,1.00E-04,0.001,0.001,0.4936,0.023,0.0835,1.00E-04,0.0188
