"Rec";"Ass";"Rule";"size";"risk";"med.size";"med.all";"me";"rmse";"cv";"Rule.label"
"REClow";"ASSnone";"HCR8";500;"1";0.0026;0.00287;-0.00018;0.000877211491032807;0.320769692860217;"HCR40"
"REClow";"ASSnone";"HCR8";500;"2";0.02;0.0213;-0.00146;0.00577806195882322;0.283202001202518;"HCR40"
"REClow";"ASSnone";"HCR8";500;"3";0.006;0.0038;0.00272;0.00340705151120437;0.316267978242092;"HCR40"
"REClow";"ASSnone";"HCR8";1000;"1";0.0028;0.00287;-7.90000000000002e-05;0.000689100863444532;0.246508848315948;"HCR40"
"REClow";"ASSnone";"HCR8";1000;"2";0.021;0.0213;-0.000359999999999999;0.00460716832772583;0.220449897395627;"HCR40"
"REClow";"ASSnone";"HCR8";1000;"3";0.005;0.0038;0.00152;0.00204156802482798;0.257481998658064;"HCR40"
"REClow";"ASSnone";"HCR8";1500;"1";0.0028;0.00287;-4.60000000000002e-05;0.000461526452835227;0.163435497803153;"HCR40"
"REClow";"ASSnone";"HCR8";1500;"2";0.0213333333333333;0.0213;-0.000153333333333333;0.00316048519481846;0.150031525215517;"HCR40"
"REClow";"ASSnone";"HCR8";1500;"3";0.00533333333333333;0.0038;0.00138;0.00171554979849351;0.197742505051791;"HCR40"
"REClow";"ASSnone";"HCR8";2000;"1";0.002825;0.00287;-2.20000000000001e-05;0.000519788418493525;0.183265058724222;"HCR40"
"REClow";"ASSnone";"HCR8";2000;"2";0.021;0.0213;-0.00028;0.00326159470198245;0.15537223916858;"HCR40"
"REClow";"ASSnone";"HCR8";2000;"3";0.005;0.0038;0.001015;0.00134851770474102;0.185321150561587;"HCR40"
"REClow";"ASSnone";"HCR8";2500;"1";0.00292;0.00287;9.03999999999998e-05;0.000336517458685281;0.110046231781413;"HCR40"
"REClow";"ASSnone";"HCR8";2500;"2";0.0212;0.0213;0.000412000000000001;0.0023097185975785;0.105201053675091;"HCR40"
"REClow";"ASSnone";"HCR8";2500;"3";0.0044;0.0038;0.000824;0.00112498888883402;0.166473262471929;"HCR40"
"REClow";"ASSnone";"HCR8";3000;"1";0.00283333333333333;0.00287;-6.03333333333335e-05;0.000366730297509097;0.12939459231186;"HCR40"
"REClow";"ASSnone";"HCR8";3000;"2";0.021;0.0213;-0.000296666666666666;0.00229690613168622;0.108989433433399;"HCR40"
"REClow";"ASSnone";"HCR8";3000;"3";0.00433333333333333;0.0038;0.000496666666666667;0.00079986109905269;0.146656819372591;"HCR40"
"REClow";"ASSnone";"HCR8";3500;"1";0.00287142857142857;0.00287;2.94285714285713e-05;0.000297898078721771;0.102756228157081;"HCR40"
"REClow";"ASSnone";"HCR8";3500;"2";0.0211428571428571;0.0213;0.000202857142857144;0.00195033225845427;0.09066357705504;"HCR40"
"REClow";"ASSnone";"HCR8";3500;"3";0.00428571428571429;0.0038;0.000531428571428571;0.000772697369278423;0.13015522064159;"HCR40"
"REClow";"ASSnone";"HCR8";4000;"1";0.0028625;0.00287;-1.20000000000002e-05;0.000304166894977083;0.106879368192529;"HCR40"
"REClow";"ASSnone";"HCR8";4000;"2";0.02125;0.0213;-4.99999999999959e-06;0.00200449494885869;0.0946037547165434;"HCR40"
"REClow";"ASSnone";"HCR8";4000;"3";0.00425;0.0038;4e-04;0.00069372184627558;0.135629662316793;"HCR40"
"REClow";"ASSnone";"HCR8";4500;"1";0.00286666666666667;0.00287;-1.46666666666668e-05;0.000229465831663964;0.0806036446092274;"HCR40"
"REClow";"ASSnone";"HCR8";4500;"2";0.0211111111111111;0.0213;-5.77777777777773e-05;0.00143964158776918;0.0680591936123022;"HCR40"
"REClow";"ASSnone";"HCR8";4500;"3";0.00422222222222222;0.0038;0.000415555555555556;0.000659442338291123;0.122074660350687;"HCR40"
"REClow";"ASSnone";"HCR8";5000;"1";0.00287;0.00287;1.79999999999984e-06;0.000192301846064982;0.0672965249523139;"HCR40"
"REClow";"ASSnone";"HCR8";5000;"2";0.0214;0.0213;4.00000000000005e-05;0.00124691619606131;0.0586950772510338;"HCR40"
"REClow";"ASSnone";"HCR8";5000;"3";0.004;0.0038;0.00032;0.000540370243444252;0.106219524557433;"HCR40"
"REClow";"ASSnone";"HCR8";5500;"1";0.0029;0.00287;3.63636363636349e-06;0.000202535579978;0.0708242379919766;"HCR40"
"REClow";"ASSnone";"HCR8";5500;"2";0.0215454545454545;0.0213;7.81818181818188e-05;0.00141758145800608;0.0665423536925208;"HCR40"
"REClow";"ASSnone";"HCR8";5500;"3";0.00418181818181818;0.0038;0.000343636363636364;0.000557384683993392;0.106443608858194;"HCR40"
"REClow";"ASSnone";"HCR8";6000;"1";0.00291666666666667;0.00287;2.29999999999999e-05;0.000197419463185483;0.0681171410704945;"HCR40"
"REClow";"ASSnone";"HCR8";6000;"2";0.0216666666666667;0.0213;0.000145000000000001;0.00129933743799591;0.0605141694406948;"HCR40"
"REClow";"ASSnone";"HCR8";6000;"3";0.00416666666666667;0.0038;0.000288333333333333;0.000461338631954157;0.0885322378742643;"HCR40"
"REClow";"ASSnone";"HCR8";6500;"1";0.00289230769230769;0.00287;5.84615384615367e-06;0.000136645786637998;0.0477106316335529;"HCR40"
"REClow";"ASSnone";"HCR8";6500;"2";0.0213846153846154;0.0213;6.15384615384616e-05;0.000932103303313177;0.0437587951831909;"HCR40"
"REClow";"ASSnone";"HCR8";6500;"3";0.004;0.0038;0.000252307692307692;0.000421718097603309;0.0838085422086665;"HCR40"
"REClow";"ASSnone";"HCR8";7000;"1";0.00284285714285714;0.00287;-1.37142857142859e-05;0.000152688825887883;0.0535092790139967;"HCR40"
"REClow";"ASSnone";"HCR8";7000;"2";0.0211428571428571;0.0213;-5.14285714285707e-05;0.000976687446088532;0.0461323265856251;"HCR40"
"REClow";"ASSnone";"HCR8";7000;"3";0.004;0.0038;0.000184285714285714;0.00033079989635514;0.0692965270864234;"HCR40"
"REClow";"ASSnone";"HCR8";7500;"1";0.00286666666666667;0.00287;-6.13333333333348e-06;0.000124691619606131;0.0437059795513639;"HCR40"
"REClow";"ASSnone";"HCR8";7500;"2";0.0212;0.0213;-2.13333333333326e-05;0.000798971561168203;0.0377237140100259;"HCR40"
"REClow";"ASSnone";"HCR8";7500;"3";0.004;0.0038;0.000125333333333333;0.000303168453357389;0.0706790893294648;"HCR40"
"REClow";"ASSnone";"HCR8";8000;"1";0.002875;0.00287;-4.75000000000015e-06;0.00010619557429573;0.0372127208683466;"HCR40"
"REClow";"ASSnone";"HCR8";8000;"2";0.02125;0.0213;-7.49999999999995e-05;0.000700223178708045;0.0329659513618898;"HCR40"
"REClow";"ASSnone";"HCR8";8000;"3";0.004;0.0038;0.0001175;0.000240052077683156;0.0537035988068353;"HCR40"
"REClow";"ASSnone";"HCR8";8500;"1";0.00288823529411765;0.00287;9.29411764705867e-06;0.000101842201027053;0.035400393600712;"HCR40"
"REClow";"ASSnone";"HCR8";8500;"2";0.0212941176470588;0.0213;5.29411764705887e-05;0.000645800916327479;0.030294175131073;"HCR40"
"REClow";"ASSnone";"HCR8";8500;"3";0.00388235294117647;0.0038;0.000110588235294118;0.000230720250325009;0.0520407128792965;"HCR40"
"REClow";"ASSnone";"HCR8";9000;"1";0.00287777777777778;0.00287;1.11111111110941e-07;7.20373702743887e-05;0.0252255722212848;"HCR40"
"REClow";"ASSnone";"HCR8";9000;"2";0.0213333333333333;0.0213;1.44444444444448e-05;0.000466375570586096;0.0219804095973951;"HCR40"
"REClow";"ASSnone";"HCR8";9000;"3";0.00388888888888889;0.0038;8.33333333333334e-05;0.00017950549357115;0.0411478528275624;"HCR40"
"REClow";"ASSnone";"HCR8";9500;"1";0.00287368421052632;0.00287;-3.0526315789475e-06;5.72059505263506e-05;0.0200255602976033;"HCR40"
"REClow";"ASSnone";"HCR8";9500;"2";0.0212631578947368;0.0213;-9.47368421052648e-06;0.000360063090808931;0.0169912070429927;"HCR40"
"REClow";"ASSnone";"HCR8";9500;"3";0.00384210526315789;0.0038;3.26315789473684e-05;0.000118998591672106;0.0300090391488193;"HCR40"
"REClow";"ASSnone";"HCR8";10000;"1";0.00287;0.00287;0;0;0;"HCR40"
"REClow";"ASSnone";"HCR8";10000;"2";0.0213;0.0213;0;0;0;"HCR40"
"REClow";"ASSnone";"HCR8";10000;"3";0.0038;0.0038;0;0;0;"HCR40"
"REClow";"ASSnone";"HCR9";500;"1";0.003;0.00288;0.000126;0.000906995038575184;0.300307847925956;"HCR45"
"REClow";"ASSnone";"HCR9";500;"2";0.022;0.0214;0.000780000000000001;0.00610376932722723;0.274311256949393;"HCR45"
"REClow";"ASSnone";"HCR9";500;"3";0.006;0.0038;0.00318;0.00383562250488757;0.308806912126916;"HCR45"
"REClow";"ASSnone";"HCR9";1000;"1";0.003;0.00288;7.89999999999998e-05;0.000677392057821761;0.228509272640711;"HCR45"
"REClow";"ASSnone";"HCR9";1000;"2";0.022;0.0214;0.000280000000000001;0.00443125264456903;0.205012765756688;"HCR45"
"REClow";"ASSnone";"HCR9";1000;"3";0.005;0.0038;0.00184;0.00239081576036298;0.272031085510343;"HCR45"
"REClow";"ASSnone";"HCR9";1500;"1";0.00286666666666667;0.00288;-4.06666666666668e-05;0.000507866999212283;0.179192255888768;"HCR45"
"REClow";"ASSnone";"HCR9";1500;"2";0.0213333333333333;0.0214;-0.000279999999999999;0.00352729043002951;0.16732354560525;"HCR45"
"REClow";"ASSnone";"HCR9";1500;"3";0.00466666666666667;0.0038;0.00110666666666667;0.00150937809120917;0.210240028910202;"HCR45"
"REClow";"ASSnone";"HCR9";2000;"1";0.00295;0.00288;-2.20000000000002e-05;0.000381667394468011;0.133993135016019;"HCR45"
"REClow";"ASSnone";"HCR9";2000;"2";0.0215;0.0214;5.00000000000011e-05;0.00277308492477241;0.129911521916716;"HCR45"
"REClow";"ASSnone";"HCR9";2000;"3";0.0045;0.0038;0.00099;0.00134759044223384;0.191833323905439;"HCR45"
"REClow";"ASSnone";"HCR9";2500;"1";0.00284;0.00288;-1.12000000000002e-05;0.000373780684359157;0.130889236004683;"HCR45"
"REClow";"ASSnone";"HCR9";2500;"2";0.0208;0.0214;-7.59999999999989e-05;0.00238159610345667;0.112191666340866;"HCR45"
"REClow";"ASSnone";"HCR9";2500;"3";0.0044;0.0038;0.000764;0.00114612390255155;0.188135017779525;"HCR45"
"REClow";"ASSnone";"HCR9";3000;"1";0.0029;0.00288;2.13333333333332e-05;0.00036198219722952;0.125174670054128;"HCR45"
"REClow";"ASSnone";"HCR9";3000;"2";0.0213333333333333;0.0214;0.000126666666666668;0.00236896601917377;0.110444157092881;"HCR45"
"REClow";"ASSnone";"HCR9";3000;"3";0.00433333333333333;0.0038;0.000683333333333333;0.000978093383408081;0.156875917504935;"HCR45"
"REClow";"ASSnone";"HCR9";3500;"1";0.00285714285714286;0.00288;-4.91428571428573e-05;0.000283407833342694;0.0990939312823719;"HCR45"
"REClow";"ASSnone";"HCR9";3500;"2";0.0211428571428571;0.0214;-0.000268571428571427;0.00184328898594721;0.0867336222662018;"HCR45"
"REClow";"ASSnone";"HCR9";3500;"3";0.00428571428571429;0.0038;0.000551428571428571;0.000834070422319216;0.144534620101546;"HCR45"
"REClow";"ASSnone";"HCR9";4000;"1";0.00285;0.00288;-2.85000000000002e-05;0.000251664459151466;0.0881308710765546;"HCR45"
"REClow";"ASSnone";"HCR9";4000;"2";0.021375;0.0214;-0.000167499999999999;0.0017075933356628;0.0804389209058702;"HCR45"
"REClow";"ASSnone";"HCR9";4000;"3";0.004;0.0038;0.000365;0.000636199654196699;0.125739667660459;"HCR45"
"REClow";"ASSnone";"HCR9";4500;"1";0.00288888888888889;0.00288;2.22222222222205e-06;0.000254636026855666;0.0887888131533576;"HCR45"
"REClow";"ASSnone";"HCR9";4500;"2";0.0215555555555556;0.0214;9.33333333333343e-05;0.00165399628285668;0.0772183660661724;"HCR45"
"REClow";"ASSnone";"HCR9";4500;"3";0.00422222222222222;0.0038;0.00038;0.000618959700716542;0.117474184284605;"HCR45"
"REClow";"ASSnone";"HCR9";5000;"1";0.00288;0.00288;1.25999999999998e-05;0.000240241545116576;0.0833573694672752;"HCR45"
"REClow";"ASSnone";"HCR9";5000;"2";0.0214;0.0214;8.00000000000012e-05;0.0014993331851193;0.0700530719549814;"HCR45"
"REClow";"ASSnone";"HCR9";5000;"3";0.0042;0.0038;0.000404;0.000636867333123626;0.11769870093401;"HCR45"
"REClow";"ASSnone";"HCR9";5500;"1";0.0029;0.00288;1.63636363636362e-05;0.000224263717252776;0.0776120478814441;"HCR45"
"REClow";"ASSnone";"HCR9";5500;"2";0.0214545454545455;0.0214;7.2727272727274e-05;0.00137786515911181;0.0644015168824647;"HCR45"
"REClow";"ASSnone";"HCR9";5500;"3";0.004;0.0038;0.000276363636363636;0.000513423125487277;0.106682474595625;"HCR45"
"REClow";"ASSnone";"HCR9";6000;"1";0.00286666666666667;0.00288;-5.50000000000019e-06;0.000196028626027482;0.0685123050833831;"HCR45"
"REClow";"ASSnone";"HCR9";6000;"2";0.0214166666666667;0.0214;6.66666666666677e-05;0.00129357386079548;0.060482746162508;"HCR45"
"REClow";"ASSnone";"HCR9";6000;"3";0.004;0.0038;0.000258333333333333;0.000474634362196605;0.0986066937357861;"HCR45"
"REClow";"ASSnone";"HCR9";6500;"1";0.0029;0.00288;7.53846153846136e-06;0.000140189221238579;0.0487237199836303;"HCR45"
"REClow";"ASSnone";"HCR9";6500;"2";0.0213846153846154;0.0214;6.92307692307699e-05;0.000908213670347412;0.0423924497058994;"HCR45"
"REClow";"ASSnone";"HCR9";6500;"3";0.004;0.0038;0.000247692307692308;0.000411836699986319;0.0816967701622218;"HCR45"
"REClow";"ASSnone";"HCR9";7000;"1";0.00287857142857143;0.00288;-1.60000000000002e-05;0.000135649608648645;0.0472700081565194;"HCR45"
"REClow";"ASSnone";"HCR9";7000;"2";0.0212857142857143;0.0214;-0.000109999999999999;0.000832772600462835;0.0389682638980793;"HCR45"
"REClow";"ASSnone";"HCR9";7000;"3";0.004;0.0038;0.000162857142857143;0.000360611725165074;0.0815985972461591;"HCR45"
"REClow";"ASSnone";"HCR9";7500;"1";0.00282666666666667;0.00288;-2.53333333333335e-05;0.000138576894017565;0.0479663622826321;"HCR45"
"REClow";"ASSnone";"HCR9";7500;"2";0.0214;0.0214;-1.33333333333222e-06;0.000825267633357002;0.0387605503480607;"HCR45"
"REClow";"ASSnone";"HCR9";7500;"3";0.00386666666666667;0.0038;0.000124;0.000320832251080426;0.0757878639899627;"HCR45"
"REClow";"ASSnone";"HCR9";8000;"1";0.00289375;0.00288;-2.75000000000019e-06;0.00010504165840275;0.0366790003297387;"HCR45"
"REClow";"ASSnone";"HCR9";8000;"2";0.0215;0.0214;8.5000000000001e-05;0.00067462952796331;0.0313067204949514;"HCR45"
"REClow";"ASSnone";"HCR9";8000;"3";0.004;0.0038;0.00014;0.000280735640772596;0.0620715913591017;"HCR45"
"REClow";"ASSnone";"HCR9";8500;"1";0.00290588235294118;0.00288;4.35294117647042e-06;0.000102290718070899;0.0356103827379763;"HCR45"
"REClow";"ASSnone";"HCR9";8500;"2";0.0214117647058824;0.0214;3.41176470588246e-05;0.00066673817378904;0.0312221477530267;"HCR45"
"REClow";"ASSnone";"HCR9";8500;"3";0.00388235294117647;0.0038;8.82352941176471e-05;0.000217885402087672;0.0514947142058151;"HCR45"
"REClow";"ASSnone";"HCR9";9000;"1";0.00288888888888889;0.00288;5.55555555555537e-06;7.42867317797635e-05;0.0258015820346509;"HCR45"
"REClow";"ASSnone";"HCR9";9000;"2";0.0214444444444444;0.0214;7.44444444444457e-05;0.000494987217692551;0.0229026828126969;"HCR45"
"REClow";"ASSnone";"HCR9";9000;"3";0.00388888888888889;0.0038;0.00011;0.000185059216415306;0.0382527137679235;"HCR45"
"REClow";"ASSnone";"HCR9";9500;"1";0.00288421052631579;0.00288;1.99999999999983e-06;4.67941800960197e-05;0.016303589597362;"HCR45"
"REClow";"ASSnone";"HCR9";9500;"2";0.0214736842105263;0.0214;1.36842105263161e-05;0.000309086761345065;0.0144925685886216;"HCR45"
"REClow";"ASSnone";"HCR9";9500;"3";0.00389473684210526;0.0038;5.15789473684211e-05;0.000115406063778238;0.0269392161916653;"HCR45"
"REClow";"ASSnone";"HCR9";10000;"1";0.00288;0.00288;0;0;0;"HCR45"
"REClow";"ASSnone";"HCR9";10000;"2";0.0214;0.0214;0;0;0;"HCR45"
"REClow";"ASSnone";"HCR9";10000;"3";0.0038;0.0038;0;0;0;"HCR45"
"REClow";"ASSss3";"HCR8";500;"1";0.0474;0.04848;-0.000858000000000002;0.0049996079846324;0.10394878522434;"HCR40"
"REClow";"ASSss3";"HCR8";500;"2";0.222;0.224;-0.00314;0.0170985379491932;0.076484752982303;"HCR40"
"REClow";"ASSss3";"HCR8";500;"3";0.06;0.0537;0.0072;0.0101680873324338;0.118489384872122;"HCR40"
"REClow";"ASSss3";"HCR8";1000;"1";0.0482;0.04848;-0.000164000000000003;0.00369047964362358;0.0766911056373834;"HCR40"
"REClow";"ASSss3";"HCR8";1000;"2";0.2225;0.224;-0.000840000000000004;0.0126585939187573;0.056884405237201;"HCR40"
"REClow";"ASSss3";"HCR8";1000;"3";0.059;0.0537;0.00532;0.00800012499902346;0.101745420863819;"HCR40"
"REClow";"ASSss3";"HCR8";1500;"1";0.0484666666666667;0.04848;0.000197999999999998;0.00253063189298202;0.0520889084239284;"HCR40"
"REClow";"ASSss3";"HCR8";1500;"2";0.223333333333333;0.224;0.000259999999999997;0.00924602016485411;0.0414203386090345;"HCR40"
"REClow";"ASSss3";"HCR8";1500;"3";0.0566666666666667;0.0537;0.00396;0.00598269727352694;0.0781673371419066;"HCR40"
"REClow";"ASSss3";"HCR8";2000;"1";0.048525;0.04848;9.7499999999998e-05;0.00272161257345714;0.0562723021156467;"HCR40"
"REClow";"ASSss3";"HCR8";2000;"2";0.224;0.224;0.000364999999999997;0.00909958790275692;0.0407285883207736;"HCR40"
"REClow";"ASSss3";"HCR8";2000;"3";0.0565;0.0537;0.002755;0.00470802506365461;0.0679659433857364;"HCR40"
"REClow";"ASSss3";"HCR8";2500;"1";0.04892;0.04848;0.000152399999999998;0.00201670225863909;0.0415580227417754;"HCR40"
"REClow";"ASSss3";"HCR8";2500;"2";0.2244;0.224;0.000227999999999996;0.00741490391036863;0.0332194684045021;"HCR40"
"REClow";"ASSss3";"HCR8";2500;"3";0.0564;0.0537;0.002736;0.00411489975576563;0.0547351524043686;"HCR40"
"REClow";"ASSss3";"HCR8";3000;"1";0.04855;0.04848;0.000119999999999998;0.00183754667363248;0.0379189645971071;"HCR40"
"REClow";"ASSss3";"HCR8";3000;"2";0.2245;0.224;0.000946666666666662;0.00607032856515106;0.026789750147871;"HCR40"
"REClow";"ASSss3";"HCR8";3000;"3";0.0556666666666667;0.0537;0.00238666666666667;0.00373181516750823;0.0514078837694144;"HCR40"
"REClow";"ASSss3";"HCR8";3500;"1";0.0487;0.04848;0.000136571428571427;0.00167357664166007;0.034482027653068;"HCR40"
"REClow";"ASSss3";"HCR8";3500;"2";0.224142857142857;0.224;0.000131428571428566;0.00576151907406513;0.0258287639265205;"HCR40"
"REClow";"ASSss3";"HCR8";3500;"3";0.0557142857142857;0.0537;0.00192857142857143;0.00331960779586495;0.0488155364813671;"HCR40"
"REClow";"ASSss3";"HCR8";4000;"1";0.048525;0.04848;-8.25000000000215e-06;0.00143446462138318;0.0297424241010352;"HCR40"
"REClow";"ASSss3";"HCR8";4000;"2";0.222875;0.224;-0.000425000000000001;0.0049829710013204;0.0223183518128332;"HCR40"
"REClow";"ASSss3";"HCR8";4000;"3";0.055125;0.0537;0.0013;0.00264740438920842;0.0421429081804876;"HCR40"
"REClow";"ASSss3";"HCR8";4500;"1";0.0487;0.04848;0.000131555555555553;0.00146755461336533;0.0302193523556622;"HCR40"
"REClow";"ASSss3";"HCR8";4500;"2";0.224222222222222;0.224;0.000233333333333329;0.00500542915119716;0.0224104801623598;"HCR40"
"REClow";"ASSss3";"HCR8";4500;"3";0.0553333333333333;0.0537;0.00138444444444445;0.00258636978059506;0.0398595102748407;"HCR40"
"REClow";"ASSss3";"HCR8";5000;"1";0.04834;0.04848;-0.000194600000000002;0.0011309836426757;0.0231898023279611;"HCR40"
"REClow";"ASSss3";"HCR8";5000;"2";0.2237;0.224;-0.000786000000000004;0.00429944182423719;0.0190323186927608;"HCR40"
"REClow";"ASSss3";"HCR8";5000;"3";0.0548;0.0537;0.001042;0.00206213481615534;0.0326708786661609;"HCR40"
"REClow";"ASSss3";"HCR8";5500;"1";0.0486090909090909;0.04848;0.000134545454545452;0.000872852263776731;0.0178293328026147;"HCR40"
"REClow";"ASSss3";"HCR8";5500;"2";0.223636363636364;0.224;9.09090909090857e-05;0.00342204810356904;0.0153423176981922;"HCR40"
"REClow";"ASSss3";"HCR8";5500;"3";0.055;0.0537;0.00104909090909091;0.00191366119612478;0.0293801021276402;"HCR40"
"REClow";"ASSss3";"HCR8";6000;"1";0.0485583333333333;0.04848;6.23333333333312e-05;0.000861909379098393;0.0177985514920612;"HCR40"
"REClow";"ASSss3";"HCR8";6000;"2";0.223916666666667;0.224;0.000126666666666662;0.00311091269208536;0.0139385113775787;"HCR40"
"REClow";"ASSss3";"HCR8";6000;"3";0.0543333333333333;0.0537;0.000805000000000002;0.00166297925423019;0.0268321334035936;"HCR40"
"REClow";"ASSss3";"HCR8";6500;"1";0.0484076923076923;0.04848;-0.000126615384615387;0.000853229437708745;0.0175382425217106;"HCR40"
"REClow";"ASSss3";"HCR8";6500;"2";0.223692307692308;0.224;-0.000447692307692312;0.00300126206194945;0.0133419968099858;"HCR40"
"REClow";"ASSss3";"HCR8";6500;"3";0.0541538461538462;0.0537;0.000572307692307695;0.00143164158682825;0.0243012407399712;"HCR40"
"REClow";"ASSss3";"HCR8";7000;"1";0.0485;0.04848;-6.42857142857167e-05;0.000807887141037077;0.0167173505517121;"HCR40"
"REClow";"ASSss3";"HCR8";7000;"2";0.224142857142857;0.224;6.28571428571376e-05;0.00298745677109873;0.0133973224815255;"HCR40"
"REClow";"ASSss3";"HCR8";7000;"3";0.0542857142857143;0.0537;0.000575714285714288;0.00153573754135216;0.0263638189522095;"HCR40"
