"","year","pblim","pblow","pzero","paboveFmsy","Ass","Rule","Rec","INN","OER"
"689",2045,0.988,1,0,0.145,"ASSss3","HCR8","REClowmed","INNvar","OERnaq"
"690",2046,0.986,1,0,0.157,"ASSss3","HCR8","REClowmed","INNvar","OERnaq"
"691",2047,0.987,1,0,0.154,"ASSss3","HCR8","REClowmed","INNvar","OERnaq"
"692",2048,0.984,1,0,0.149,"ASSss3","HCR8","REClowmed","INNvar","OERnaq"
"693",2049,0.981,0.999,0,0.134,"ASSss3","HCR8","REClowmed","INNvar","OERnaq"
"694",2050,0.982,0.999,0,0.117,"ASSss3","HCR8","REClowmed","INNvar","OERnaq"
"695",2051,0.973,1,0,0.112,"ASSss3","HCR8","REClowmed","INNvar","OERnaq"
"696",2052,0.988,1,0,0.117,"ASSss3","HCR8","REClowmed","INNvar","OERnaq"
"697",2053,0.983,1,0,0.103,"ASSss3","HCR8","REClowmed","INNvar","OERnaq"
"698",2054,0.989,1,0,0.103,"ASSss3","HCR8","REClowmed","INNvar","OERnaq"
"699",2055,0.99,1,0,0.125,"ASSss3","HCR8","REClowmed","INNvar","OERnaq"
"700",2056,0.986,1,0,0.123,"ASSss3","HCR8","REClowmed","INNvar","OERnaq"
"701",2057,0.985,1,0,0.112,"ASSss3","HCR8","REClowmed","INNvar","OERnaq"
"702",2058,0.984,1,0,0.106,"ASSss3","HCR8","REClowmed","INNvar","OERnaq"
"703",2059,0.983,1,0,0.105,"ASSss3","HCR8","REClowmed","INNvar","OERnaq"
"704",2060,0.987,1,0,0.121,"ASSss3","HCR8","REClowmed","INNvar","OERnaq"
"705",2061,0.988,1,0,0.13,"ASSss3","HCR8","REClowmed","INNvar","OERnaq"
"706",2062,0.984,1,0,0.117,"ASSss3","HCR8","REClowmed","INNvar","OERnaq"
"707",2063,0.982,1,0,0.132,"ASSss3","HCR8","REClowmed","INNvar","OERnaq"
"708",2064,0.988,1,0,0.125,"ASSss3","HCR8","REClowmed","INNvar","OERnaq"
"709",2065,0.98,1,0,0.122,"ASSss3","HCR8","REClowmed","INNvar","OERnaq"
"710",2066,0.987,1,0,0.128,"ASSss3","HCR8","REClowmed","INNvar","OERnaq"
"711",2067,0.994,1,0,0.122,"ASSss3","HCR8","REClowmed","INNvar","OERnaq"
"712",2068,0.982,1,0,0.12,"ASSss3","HCR8","REClowmed","INNvar","OERnaq"
"713",2069,0.992,1,0,0.144,"ASSss3","HCR8","REClowmed","INNvar","OERnaq"
"714",2070,0.984,1,0,0.142,"ASSss3","HCR8","REClowmed","INNvar","OERnaq"
"715",2020,0.591,1,0,0.005,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"716",2021,0.677,0.999,0,0.401,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"717",2022,0.707,0.999,0,0.359,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"718",2023,0.711,0.999,0,0.311,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"719",2024,0.728,0.998,0,0.314,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"720",2025,0.742,0.999,0,0.31,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"721",2026,0.748,0.997,0,0.276,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"722",2027,0.76,0.995,0,0.253,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"723",2028,0.764,0.996,0,0.25,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"724",2029,0.772,0.999,0,0.25,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"725",2030,0.777,0.994,0,0.241,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"726",2031,0.788,0.994,0,0.225,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"727",2032,0.792,0.997,0,0.223,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"728",2033,0.799,0.998,0,0.217,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"729",2034,0.81,0.997,0,0.203,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"730",2035,0.822,0.996,0,0.219,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"731",2036,0.825,0.998,0,0.225,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"732",2037,0.827,0.995,0,0.224,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"733",2038,0.823,0.996,0,0.222,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"734",2039,0.84,0.994,0,0.192,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"735",2040,0.843,0.996,0,0.186,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"736",2041,0.845,0.994,0,0.211,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"737",2042,0.847,0.994,0,0.207,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"738",2043,0.843,0.994,0,0.207,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"739",2044,0.853,0.995,0,0.205,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"740",2045,0.851,0.993,0,0.215,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"741",2046,0.855,0.989,0,0.22,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"742",2047,0.86,0.992,0,0.217,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"743",2048,0.868,0.99,0,0.204,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"744",2049,0.866,0.991,0,0.203,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"745",2050,0.866,0.993,0,0.194,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"746",2051,0.872,0.992,0,0.184,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"747",2052,0.883,0.998,0,0.197,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"748",2053,0.884,0.999,0,0.189,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"749",2054,0.889,0.996,0,0.182,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"750",2055,0.892,0.996,0,0.215,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"751",2056,0.894,0.992,0,0.189,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"752",2057,0.902,0.998,0,0.172,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"753",2058,0.903,0.998,0,0.163,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"754",2059,0.912,0.996,0,0.172,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"755",2060,0.907,0.997,0,0.177,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"756",2061,0.907,0.998,0,0.182,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"757",2062,0.911,0.994,0,0.179,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"758",2063,0.907,0.998,0,0.189,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"759",2064,0.909,1,0,0.17,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"760",2065,0.918,0.997,0,0.17,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"761",2066,0.907,0.999,0,0.165,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"762",2067,0.911,0.997,0,0.164,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"763",2068,0.906,0.998,0,0.163,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"764",2069,0.915,0.998,0,0.2,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"765",2070,0.906,0.997,0,0.195,"ASSss3","HCR8","RECmix","INNvar","OERnaq"
"766",2020,0.59,0.998,0,0.01,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"767",2021,0.615,0.997,0,0.567,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"768",2022,0.521,0.999,0,0.663,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"769",2023,0.385,0.999,0,0.622,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"770",2024,0.318,0.998,0,0.663,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"771",2025,0.266,0.995,0,0.648,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"772",2026,0.223,0.989,0,0.544,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"773",2027,0.215,0.985,0,0.545,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"774",2028,0.202,0.985,0,0.605,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"775",2029,0.199,0.989,0,0.639,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"776",2030,0.189,0.979,0,0.599,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"777",2031,0.183,0.977,0,0.63,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"778",2032,0.185,0.985,0,0.64,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"779",2033,0.192,0.979,0,0.625,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"780",2034,0.19,0.978,0,0.658,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"781",2035,0.212,0.983,0,0.642,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"782",2036,0.23,0.976,0,0.636,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"783",2037,0.211,0.976,0,0.695,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"784",2038,0.206,0.972,0,0.732,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"785",2039,0.2,0.972,0,0.695,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"786",2040,0.189,0.98,0,0.734,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"787",2041,0.167,0.972,0,0.744,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"788",2042,0.179,0.971,0,0.728,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"789",2043,0.183,0.973,0,0.752,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"790",2044,0.174,0.971,0,0.771,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"791",2045,0.168,0.949,0,0.787,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"792",2046,0.173,0.953,0,0.786,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"793",2047,0.174,0.963,0,0.793,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"794",2048,0.169,0.95,0,0.766,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"795",2049,0.165,0.954,0,0.793,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"796",2050,0.159,0.949,0,0.807,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"797",2051,0.175,0.952,0,0.801,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"798",2052,0.187,0.957,0,0.827,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"799",2053,0.174,0.948,0,0.813,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"800",2054,0.173,0.958,0,0.809,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"801",2055,0.163,0.951,0,0.815,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"802",2056,0.156,0.94,0,0.844,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"803",2057,0.147,0.949,0,0.814,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"804",2058,0.167,0.955,0,0.84,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"805",2059,0.178,0.948,0,0.843,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"806",2060,0.166,0.937,0,0.836,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"807",2061,0.156,0.936,0,0.86,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"808",2062,0.146,0.947,0,0.859,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"809",2063,0.175,0.949,0,0.838,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"810",2064,0.171,0.952,0,0.842,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"811",2065,0.166,0.949,0,0.864,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"812",2066,0.145,0.952,0,0.853,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"813",2067,0.146,0.959,0,0.863,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"814",2068,0.152,0.96,0,0.891,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"815",2069,0.152,0.953,0,0.895,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"816",2070,0.136,0.947,0,0.892,"ASSss3","HCR9","REClow","INNvar","OERnaq"
"817",2020,0.589,1,0,0.003,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"818",2021,0.823,0.998,0,0.404,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"819",2022,0.878,0.999,0,0.424,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"820",2023,0.916,0.999,0,0.415,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"821",2024,0.939,1,0,0.429,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"822",2025,0.955,0.999,0,0.391,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"823",2026,0.951,1,0,0.359,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"824",2027,0.961,0.999,0,0.349,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"825",2028,0.96,1,0,0.319,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"826",2029,0.966,0.999,0,0.316,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"827",2030,0.957,1,0,0.316,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"828",2031,0.972,1,0,0.305,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"829",2032,0.968,1,0,0.289,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"830",2033,0.972,1,0,0.286,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"831",2034,0.985,1,0,0.291,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"832",2035,0.983,1,0,0.304,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"833",2036,0.981,1,0,0.304,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"834",2037,0.978,1,0,0.283,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"835",2038,0.977,1,0,0.311,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"836",2039,0.979,1,0,0.301,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"837",2040,0.978,1,0,0.301,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"838",2041,0.973,1,0,0.301,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"839",2042,0.973,1,0,0.306,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"840",2043,0.976,1,0,0.319,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"841",2044,0.976,1,0,0.303,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"842",2045,0.973,1,0,0.324,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"843",2046,0.982,1,0,0.308,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"844",2047,0.983,1,0,0.311,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"845",2048,0.974,1,0,0.302,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"846",2049,0.98,0.999,0,0.297,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"847",2050,0.978,0.999,0,0.293,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"848",2051,0.973,1,0,0.288,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"849",2052,0.983,1,0,0.281,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"850",2053,0.977,1,0,0.277,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"851",2054,0.978,1,0,0.311,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"852",2055,0.981,1,0,0.314,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"853",2056,0.979,1,0,0.292,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"854",2057,0.975,1,0,0.281,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"855",2058,0.979,1,0,0.283,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"856",2059,0.98,1,0,0.295,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"857",2060,0.976,1,0,0.302,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"858",2061,0.973,1,0,0.322,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"859",2062,0.972,1,0,0.305,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"860",2063,0.975,1,0,0.301,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"861",2064,0.978,1,0,0.3,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"862",2065,0.98,1,0,0.305,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"863",2066,0.985,1,0,0.301,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"864",2067,0.985,1,0,0.287,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"865",2068,0.981,1,0,0.289,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"866",2069,0.987,1,0,0.302,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"867",2070,0.979,1,0,0.295,"ASSss3","HCR9","REClowmed","INNvar","OERnaq"
"868",2020,0.594,0.999,0,0.004,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"869",2021,0.672,1,0,0.444,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"870",2022,0.707,1,0,0.469,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"871",2023,0.717,1,0,0.433,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"872",2024,0.721,0.998,0,0.443,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"873",2025,0.727,0.998,0,0.444,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"874",2026,0.741,0.994,0,0.417,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"875",2027,0.749,0.995,0,0.402,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"876",2028,0.746,0.998,0,0.386,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"877",2029,0.746,0.998,0,0.384,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"878",2030,0.752,0.992,0,0.378,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"879",2031,0.762,0.991,0,0.374,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"880",2032,0.77,0.995,0,0.369,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"881",2033,0.774,0.995,0,0.367,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"882",2034,0.777,0.991,0,0.352,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"883",2035,0.794,0.994,0,0.38,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"884",2036,0.791,0.993,0,0.387,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"885",2037,0.795,0.995,0,0.382,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"886",2038,0.793,0.995,0,0.389,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"887",2039,0.809,0.994,0,0.368,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"888",2040,0.814,0.995,0,0.378,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"889",2041,0.817,0.991,0,0.373,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"890",2042,0.821,0.99,0,0.368,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"891",2043,0.819,0.99,0,0.38,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"892",2044,0.823,0.993,0,0.393,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"893",2045,0.826,0.989,0,0.39,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"894",2046,0.838,0.987,0,0.387,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"895",2047,0.839,0.99,0,0.369,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"896",2048,0.839,0.988,0,0.363,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"897",2049,0.841,0.99,0,0.361,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"898",2050,0.843,0.99,0,0.366,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"899",2051,0.852,0.992,0,0.361,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"900",2052,0.861,0.996,0,0.358,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"901",2053,0.864,0.997,0,0.373,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"902",2054,0.864,0.993,0,0.378,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"903",2055,0.857,0.993,0,0.378,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"904",2056,0.859,0.99,0,0.355,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"905",2057,0.865,0.994,0,0.34,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"906",2058,0.864,0.993,0,0.342,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"907",2059,0.872,0.995,0,0.344,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"908",2060,0.864,0.991,0,0.358,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"909",2061,0.864,0.993,0,0.377,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"910",2062,0.869,0.992,0,0.365,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"911",2063,0.86,0.994,0,0.364,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"912",2064,0.871,0.998,0,0.347,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"913",2065,0.874,0.996,0,0.37,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"914",2066,0.871,0.998,0,0.353,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"915",2067,0.878,0.996,0,0.334,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"916",2068,0.878,0.998,0,0.358,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"917",2069,0.883,0.996,0,0.381,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
"918",2070,0.873,0.995,0,0.377,"ASSss3","HCR9","RECmix","INNvar","OERnaq"
